Dopełniacz;Mianownik
Radzikowic;Radzikowice
Szczecina;Szczecin
Sianożątki;Sianożątka
Dąbrowca;Dąbrowiec
Bielowizny;Bielowizna
Góralic;Góralice
Gwizdowej;Gwizdowa
Chobia;Chobie
Sierpowa;Sierpów
Pitkówki;Pitkówka
Bazylianówki;Bazylianówka
Padołka;Padołek
Sitkowizny;Sitkowizna
Tysek;Tyski
Nadlesia;Nadlesie
Mawr;Mawry
Cisowa;Cisów
Gościszowa;Gościszów
Olesic;Olesice
Lamkówka;Lamkówko
Kolnicy;Kolnica
Nietupy;Nietupa
Bersonówki;Bersonówka
Skalaków;Skalaki
Wyżnego;Wyżne
Podchoin;Podchoiny
Zapcenia;Zapceń
Borzęckiego;Borzęckie
Blekicia;Blekicie
Podfigurza;Podfigurze
Miąskowa;Miąskowo
Krelikiejm;Krelikiejmy
Pawliszcza;Pawliszcze
Pacółtówka;Pacółtówko
Klonówka;Klonówek
Warzyc;Warzyce
Wangut;Wanguty
Podchoiny;Podchoina
Kubińca;Kubiniec
Napłatka;Napłatek
Rajszuli;Rajszula
Kowerska;Kowersk
Kurian;Kuriany
Kopernicy;Kopernica
Zgorzelca;Zgorzelec
Skarżyna;Skarżyn
Słodzony;Słodzona
Gogolina;Gogolin
Samsonek;Samsonki
Bodzanówka;Bodzanówek
Chorupnika;Chorupnik
Skoczkowa;Skoczkowo
Obaldówki;Obaldówka
Janawina;Janawino
Ugajnika;Ugajnik
Świeligowa;Świeligów
Dylewa;Dylew
Sokoleńca;Sokoleniec
Cieszków;Cieszkowy
Bogumiłka;Bogumiłek
Żądłowic;Żądłowice
Bosiów;Bosie
Bosi;Bosia
Jagot;Jagoty
Malwinowa;Malwinowo
Bazarów;Bazary
Creni;Crenie
Kierzbunia;Kierzbuń
Mirosławina;Mirosławin
Arcugowa;Arcugowo
Jabłoni;Jabłoń
Jaromierska;Jaromiersko
Klekotów;Klekoty
Wąsosza;Wąsosz
Sztrukwałdu;Sztrukwałd
Wabcza;Wabcz
Krasienina;Krasienin
Czudowic;Czudowice
Szymocicic;Szymocice
Szmytowa;Szmytowo
Murów;Mury
Nogawek;Nogawki
Bełchówki;Bełchówka
Bobowej;Bobowa
Tyborowa;Tyborów
Bobowa;Bobowo
Lubuszanki;Lubuszanka
Podorabia;Podorabie
Młynowych;Młynowe
Fryckowskich;Fryckowskie
Kantyły;Kantyła
Grafki;Grafka
Młynowa;Młynowo
Marszałkówki;Marszałkówka
Kwilna;Kwilno
Kościelnych;Kościelni
Jurczaków;Jurczaki
Kozowa;Kozowo
Kościelnego;Kościelne
Kościelnej;Kościelna
Kalembiny;Kalembina
Wilkanowa;Wilkanowo
Kaweczkówki;Kaweczkówka
Kaliszanek;Kaliszanki
Lubachów;Lubachowy
Przewoźnik;Przewoźniki
Świątkowa;Świątkowo
Klotyldzina;Klotyldzin
Dolanka;Dolanek
Bernadówki;Bernadówka
Zagościa;Zagość
Kulasów;Kulasy
Więcborka;Więcbork
Jagielna;Jagielno
Butorzy;Butorza
Kiełminy;Kiełmina
Butorzych;Butorzy
Kikit;Kikity
Braciejówki;Braciejówka
Płackowa;Płackowo
Lubat;Lubaty
Zakaniowa;Zakaniów
Czubajowizny;Czubajowizna
Ławicy;Ławica
Ławic;Ławice
Koskowa;Koskowo
Czeczotków;Czeczotki
Biebrówka;Biebrówek
Zaprężyna;Zaprężyn
Głodówki;Głodówka
Przytkowic;Przytkowice
Cedyni;Cedynia
Jankielówki;Jankielówka
Hulskiego;Hulskie
Kleczewa;Kleczew
Mańczoka;Mańczok
Wardzyna;Wardzyn
Zaścianek;Zaścianki
Derpowizny;Derpowizna
Piorunowa;Piorunowo
Moczynia;Moczyń
Aksamitów;Aksamity
Kierzczanego;Kierzczane
Szczyptów;Szczypty
Brzyzka;Brzyzek
Podleszna;Podleszno
Pająkówki;Pająkówka
Patrysiaków;Patrysiaki
Balusi;Balusie
Kęcików;Kęciki
Stryczkowa;Stryczków
Kałuszyna;Kałuszyn
Gorodczyna;Gorodczyno
Sieradzkiej;Sieradzka
Saburów;Sabury
Sudajewa;Sudajew
Miłuk;Miłuki
Gackich;Gackie
Goszcza;Goszcz
Witkowizny;Witkowizna
Koziołkowej;Koziołkowa
Lejkówka;Lejkówko
Gądkówki;Gądkówka
Gościradza;Gościradz
Gościradów;Gościrady
Krąpiewa;Krąpiewo
Drobisów;Drobisy
Pindelowej;Pindelowa
Zabrzeziny;Zabrzezina
Sowowy;Sowowa
Barakówki;Barakówka
Witkowa;Witków
Magdalana;Magdalan
Mejznerzyna;Mejznerzyn
Chroślic;Chroślice
Grajówki;Grajówka
Przybędowa;Przybędów
Rozbarka;Rozbark
Tąkieli;Tąkiele
Podkamiennego;Podkamienny
Mokradeł;Mokradła
Marksówka;Marksówek
Nosalewic;Nosalewice
Krobanówka;Krobanówek
Niegolewa;Niegolewo
Sobczyny;Sobczyna
Kotyzek;Kotyzki
Bieszkowic;Bieszkowice
Kluczewska;Kluczewsko
Podkamiennego;Podkamienne
Kiełbasówki;Kiełbasówka
Werduna;Werdun
Kozinek;Kozinki
Jankowiec;Jankowce
Gądna;Gądno
Rączków;Rączki
Niesadny;Niesadna
Kapłanówki;Kapłanówka
Zarzewa;Zarzew
Skalskiego;Skalskie
Baduni;Badunie
Arciechowa;Arciechów
Broszkowic;Broszkowice
Śnieżek;Śnieżki
Urbaczkuli;Urbaczkula
Talarowej;Talarowa
Łazków;Łazki
Jarogniewia;Jarogniew
Raszynka;Raszynek
Budynku;Budynek
Koźla;Koziel
Kopernakówki;Kopernakówka
Kluczaka;Kluczak
Kaput;Kaputy
Pogrzebca;Pogrzebiec
Perelisk;Pereliska
Tokarówki;Tokarówka
Koniecek;Koniecki
Piskary;Piskara
Tarnogaju;Tarnogaj
Paprotek;Paprotki
Ryszki;Ryszka
Paprotki;Paprotka
Kiełpinka;Kiełpinek
Chociwla;Chociwle
Ryszek;Ryszki
Trzeku;Trzek
Lniska;Lnisko
Pitropu;Pitrop
Szyszkowizny;Szyszkowizna
Urogi;Uroga
