Dopełniacz;Mianownik
Władzimirowa;Władzimirów
Bryzgowa;Bryzgów
Podsośniny;Podsośnina
Dębian;Dębiany
Szkudaju;Szkudaj
Szczecina;Szczecin
Szopowego;Szopowe
Wielgłów;Wielgłowy
Włochówki;Włochówka
Poschły;Poschła
Horodła;Horodło
Dąbrowca;Dąbrowiec
Palat;Palaty
Reczula;Reczul
Tomaszkowic;Tomaszkowice
Chobia;Chobie
Radzikowic;Radzikowice
Romanówki;Romanówka
Kromszewic;Kromszewice
Sierpowa;Sierpów
Suchorzowa;Suchorzów
Skarżynia;Skarżyń
Rzakty;Rzakta
Paarów;Paary
Szydlic;Szydlice
Topólki;Topólka
Sitkowizny;Sitkowizna
Niedźwiednika;Niedźwiednik
Bużki;Bużka
Zakurowia;Zakurowie
Mawr;Mawry
Cisowa;Cisów
Gościszowa;Gościszów
Emowa;Emowo
Strachomina;Strachomino
Skrzeszew;Skrzeszewy
Samborowa;Samborowo
Olesic;Olesice
Skowieszyna;Skowieszyn
Dłutowa;Dłutowo
Wieruchowa;Wieruchów
Lamkówka;Lamkówko
Faściszowej;Faściszowa
Kurówka;Kurówek
Radości;Radość
Sobiecina;Sobiecin
Bełku;Bełek
Grzymysławic;Grzymysławice
Międzybrodzia;Międzybrodzie
Tomaszowic;Tomaszowice
Niemieczkowa;Niemieczkowo
Beszyna;Beszyn
Przykor;Przykory
Zapcenia;Zapceń
Borzęckiego;Borzęckie
Czechla;Czechel
Biadek;Biadki
Dobrzyniewa;Dobrzyniewo
Stefanowic;Stefanowice
Siemnówka;Siemnówek
Szumowa;Szumowo
Klonówka;Klonówek
Robertowa;Robertowo
Warzyc;Warzyce
Bąsz;Bąsze
Lisewa;Lisewo
Rażen;Rażny
Rusinowa;Rusinowo
Ochudna;Ochudno
Mikoszewa;Mikoszewo
Chomiąży;Chomiąża
Wierszyna;Wierszyno
Czerniejowa;Czerniejów
Wymokłego;Wymokłe
Dunowa;Dunowo
Rdutowa;Rdutów
Kowerska;Kowersk
Biskupca;Biskupiec
Tarnowy;Tarnowa
Bystrowic;Bystrowice
Waliszewa;Waliszew
Apolonii;Apolonia
Kułyg;Kułygi
Kurian;Kuriany
Kopernicy;Kopernica
Kromolic;Kromolice
Skarżyna;Skarżyn
Ząbia;Ząbie
Drewnik;Drewniki
Gogolina;Gogolin
Gilowa;Gilów
Skaj;Skaje
Bodzanówka;Bodzanówek
Latowicza;Latowicz
Potrzymowa;Potrzymowo
Skoczkowa;Skoczkowo
Gulina;Gulin
Mularzowa;Mularzów
Cyprzanowa;Cyprzanów
Sędziszowic;Sędziszowice
Jaślikowa;Jaślików
Wolaninin;Wolaniny
Matuszowic;Matuszowice
Latowic;Latowice
Osówka;Osówko
Świeligowa;Świeligów
Goręczyna;Goręczyno
Niemarzyna;Niemarzyn
Chrośli;Chrośle
Trzcian;Trzciany
Chrośli;Chrośla
Mucharzewa;Mucharzew
Wysokiej;Wysoka
Cieszków;Cieszkowy
Suchostrugi;Suchostruga
Słupnicy;Słupnica
Tomaszowa;Tomaszów
Bierwichy;Bierwicha
Zimnego;Zimne
Paleśnicy;Paleśnica
Zadąbrowia;Zadąbrowie
Stanów;Stany
Dołgiego;Dołgie
Trzebisławek;Trzebisławki
Klepek;Klepki
Jagot;Jagoty
Malwinowa;Malwinowo
Drawna;Drawno
Wiewiórowa;Wiewiórowo
Zgórznicy;Zgórznica
Mariewa;Mariew
Kołdowa;Kołdów
Sepienka;Sepienko
Binowa;Binowo
Skwierzyny;Skwierzyna
Kołaczka;Kołaczek
Gucina;Gucin
Pierszyc;Pierszyce
Koperni;Kopernia
Olimpiowa;Olimpiów
Arcugowa;Arcugowo
Pruchnej;Pruchna
Mursku;Mursk
Jabłonia;Jabłoń
Magdaleńca;Magdaleniec
Zagródek;Zagródki
Nieba;Niebo
Pturka;Pturek
Zamchu;Zamch
Fanianowa;Fanianowo
Jonnnego;Jonne
Urbanowic;Urbanowice
Sarnetek;Sarnetki
Małszyc;Małszyce
Świerczyny;Świerczyna
Baborówka;Baborówko
Pocześla;Pocześle
Zakurzewa;Zakurzewo
Morzów;Morze
Czudowic;Czudowice
Szymocicic;Szymocice
Jastrowa;Jastrowo
Nogawek;Nogawki
Bełchówki;Bełchówka
Bobowej;Bobowa
Mnikowa;Mników
Bobowa;Bobowo
Czapielska;Czapielsk
Bieździadowa;Bieździadów
Myjów;Myje
Ogrodnicy;Ogrodnica
Gawinianiec;Gawiniańce
Mominy;Momina
