Dopełniacz;Mianownik
Radzikowic;Radzikowice
Szczecina;Szczecin
Dąbrowca;Dąbrowiec
Chobia;Chobie
Sitkowizny;Sitkowizna
Mawr;Mawry
Cisowa;Cisów
Gościszowa;Gościszów
Olesic;Olesice
Lamkówka;Lamkówko
Kolnicy;Kolnica
Nietupy;Nietupa
Wyżnego;Wyżne
Zapcenia;Zapceń
Borzęckiego;Borzęckie
Miąskowa;Miąskowo
Krelikiejm;Krelikiejmy
Pacółtówka;Pacółtówko
Klonówka;Klonówek
Warzyc;Warzyce
Wangut;Wanguty
Kowerska;Kowersk
Kurian;Kuriany
Kopernicy;Kopernica
Zgorzelca;Zgorzelec
Skarżyna;Skarżyn
Gogolina;Gogolin
Bodzanówka;Bodzanówek
Skoczkowa;Skoczkowo
Świeligowa;Świeligów
Możdżanowa;Możdżanów
Cieszków;Cieszkowy
Bogumiłka;Bogumiłek
Żądłowic;Żądłowice
Jagot;Jagoty
Malwinowa;Malwinowo
Kierzbunia;Kierzbuń
Mirosławina;Mirosławin
Arcugowa;Arcugowo
Jabłonia;Jabłoń
Śpigla;Śpigiel
Wabcza;Wabcz
Krasienina;Krasienin
Czudowic;Czudowice
Nogawek;Nogawki
Bełchówki;Bełchówka
Bobowej;Bobowa
Tyborowa;Tyborów
Bobowa;Bobowo
Gawinianiec;Gawiniańce
Kantyły;Kantyła
Młynowa;Młynowo
Kwilna;Kwilno
Kozowa;Kozowo
Kościelnego;Kościelne
Brusowa;Brusów
Kalembiny;Kalembina
Wilkanowa;Wilkanowo
Lubachów;Lubachowy
Przewoźnik;Przewoźniki
Świątkowa;Świątkowo
Klotyldzina;Klotyldzin
Zagościa;Zagość
Więcborka;Więcbork
Jagielna;Jagielno
Chlewisk;Chlewiska
Kiełminy;Kiełmina
Kikit;Kikity
Skarżynia;Skarżyń
Lubat;Lubaty
Czubajowizny;Czubajowizna
Ławicy;Ławica
Ławic;Ławice
Głodówka;Głodówko
Czeczotek;Czeczotki
Zaprężyna;Zaprężyn
Przytkowic;Przytkowice
Cedyni;Cedynia
Jankielówki;Jankielówka
Hulskiego;Hulskie
Borszyna;Borszyn
Kleczewa;Kleczew
Wardzyna;Wardzyn
Wardężyna;Wardężyn
Kałuszyna;Kałuszyn
Gorodczyna;Gorodczyno
Miłuk;Miłuki
Cieślina;Cieślin
Goszcza;Goszcz
Witkowizny;Witkowizna
Lejkówka;Lejkówko
Winowa;Winów
Gościradów;Gościrady
Krąpiewa;Krąpiewo
Witkowa;Witków
Mejznerzyna;Mejznerzyn
Chroślic;Chroślice
Konarskiego;Konarskie
Mokradeł;Mokradła
Nosalewic;Nosalewice
Krobanówka;Krobanówek
Niegolewa;Niegolewo
Bieszkowic;Bieszkowice
Kluczewska;Kluczewsko
Werduna;Werdun
Kozinek;Kozinki
Jankowiec;Jankowce
Rączek;Rączki
Niesadny;Niesadna
Arciechowa;Arciechów
Broszkowic;Broszkowice
Śnieżek;Śnieżki
Pogrzybowa;Pogrzybów
Jarogniewia;Jarogniew
Kozieźla;Koziel
Giesków;Gieski
Kaput;Kaputy
Tokarówki;Tokarówka
Koniecek;Koniecki
Paprotek;Paprotki
Wroniaw;Wroniawy
Kiełpinka;Kiełpinek
Ryszek;Ryszki
Trzeku;Trzek
Lnisk;Lniska
Gawerkowa;Gawerków
Popowa;Popów
Koszyc;Koszyce
Miłowic;Miłowice
Wiadrowa;Wiadrowo
Homotów;Homoty
Stępocina;Stępocin
Dylewka;Dylewko
Dionizowa;Dionizów
Robaczewa;Robaczewo
Łobodów;Łobody
Jarzyc;Jarzyce
Łososiowic;Łososiowice
Radkowa;Radków
Średzińskich;Średzińskie
Łobody;Łoboda
Smaszewa;Smaszew
Bąblińca;Bąbliniec
Pyszącej;Pysząca
Zagnańska;Zagnańsk
Wytoka;Wytok
Zagrody;Zagroda
Zagrodów;Zagrody
Radomic;Radomice
Gaszowa;Gaszów
Kamiennnego;Kamienne
Kamiennnej;Kamienna
Samolubia;Samolubie
Gąsek;Gąski
Kubic;Kubice
Kozła;Kozieł
Zaklikowa;Zaklików
Większyc;Większyce
Wtórka;Wtórek
Chajdyc;Chajdyce
Jaryszowa;Jaryszów
Kretowin;Kretowiny
Mieczkówki;Mieczkówka
Skaj;Skaje
Czachówek;Czachówki
Niekurzy;Niekurza
Daszewic;Daszewice
Piskajn;Piskajny
Spotkania;Spotkanie
Chocianowa;Chocianów
Pasiecznej;Pasieczna
Rogózieźca;Rogóziec
Wolbromowa;Wolbromów
Jagodzińca;Jagodziniec
Perzyn;Perzyny
Koteż;Koteże
Momajn;Momajny
Szucia;Szucie
Grodni;Grodnia
Sarnówka;Sarnówek
Steblewa;Steblewo
Rówiec;Rówce
Tyrszelin;Tyrszeliny
Kamocinka;Kamocinek
Nowolesia;Nowolesie
Jesionnny;Jesionna
Gostyczyny;Gostyczyna
Czerwieńska;Czerwieńsk
Niedar;Niedary
Kopydłowa;Kopydłów
Pruchnika;Pruchnik
Pomianu;Pomian
Krzywca;Krzywiec
Bryńska;Bryńsk
Jankowa;Janków
Marków;Marki
Daniłowa;Daniłowo
Dobrzynia;Dobrzyń
Śremska;Śremsko
Dobrzykowa;Dobrzykowo
Antosina;Antosin
Rębiszowa;Rębiszów
Chrominka;Chrominek
Niedarzyna;Niedarzyn
Dorowa;Dorowo
Chodlewa;Chodlewo
Kopaniny;Kopanina
Galumina;Galumin
Rejowa;Rejów
Kopanina;Kopanino
Świężycy;Świężyca
Bębnowa;Bębnów
Kopaninin;Kopaniny
Żurady;Żurada
Gardna;Gardno
Tymina;Tymin
Robaw;Robawy
Moszyn;Moszyny
Kończewa;Kończewo
Sporniaka;Sporniak
Kolemczyczyc;Kolemczyce
Komaszówki;Komaszówka
Głodzina;Głodzino
Piłatowszczyzny;Piłatowszczyzna
Rębisk;Rębiska
Germanichy;Germanicha
Lewic;Lewice
Przytoki;Przytoka
Bron;Brony
Jarosławia;Jarosław
Sarny;Sarna
Jastrowia;Jastrowie
Lemana;Leman
Kolczyna;Kolczyn
Kadłubi;Kadłubia
