Dopełniacz;Mianownik
Mariackiego;Mariackie
Chobia;Chobie
Tysek;Tyski
Nadlesia;Nadlesie
Mawr;Mawry
Nietupy;Nietupa
Wyżnego;Wyżne
Podchoin;Podchoiny
Zapcenia;Zapceń
Borzęckiego;Borzęckie
Blekicia;Blekicie
Podfigurza;Podfigurze
Krelikiejm;Krelikiejmy
Kubinieńca;Kubiniec
Sokolenieńca;Sokoleniec
Cieszków;Cieszkowy
Bosiów;Bosie
Bosi;Bosia
Odyńca;Odyniec
Jagot;Jagoty
Bazarów;Bazary
Creni;Crenie
Jabłonia;Jabłoń
Klekotów;Klekoty
Paluszków;Paluszki
Sztrukwałdu;Sztrukwałd
Wabcza;Wabcz
Szymocicic;Szymocice
Murów;Mury
Młynowych;Młynowe
Fryckowskich;Fryckowskie
Kantyły;Kantyła
Kościelnych;Kościelni
Kościelnego;Kościelne
Stanka;Stank
Bagiczy;Bagicz
Lubachów;Lubachowy
Przewoźnik;Przewoźniki
Zagościa;Zagość
Kulasów;Kulasy
Butorzy;Butorza
Butorzych;Butorzy
Lubat;Lubaty
Czeczotków;Czeczotki
Hulskiego;Hulskie
Mańczoka;Mańczok
Moczynia;Moczyń
Aksamitów;Aksamity
Kierzczanego;Kierzczane
Szczyptów;Szczypty
Kęcików;Kęciki
Sieradzkiej;Sieradzka
Miłuk;Miłuki
Gackich;Gackie
Goszcza;Goszcz
Gościradza;Gościradz
Gościradów;Gościrady
Pawliszcza;Pawliszcze
Drobisów;Drobisy
Magdalana;Magdalan
Rozbarka;Rozbark
Podkamiennego;Podkamienny
Mokradeł;Mokradła
Werduna;Werdun
Jankowiec;Jankowce
Rączków;Rączki
Skalskiego;Skalskie
Baduni;Badunie
Śnieżek;Śnieżki
Urbaczkuli;Urbaczkula
Łazków;Łazki
Budynku;Budynek
Kulawego;Kulawy
Kozieźla;Koziel
Pogrzebca;Pogrzebiec
Perelisk;Pereliska
Koniecek;Koniecki
Nykazów;Nykazy
Cacek;Cacki
Ryszek;Ryszki
Trzeku;Trzek
Lnisk;Lniska
Rajszuli;Rajszula
Wilchw;Wilchwy
Pietruchowego;Pietruchowe
Skubisów;Skubisy
Rybitew;Rybitwy
Szarawary;Szarawara
Bogaczy;Bogacze
Homotów;Homoty
Więzików;Więziki
Wydrzywilka;Wydrzywilk
Zięciuków;Zięciuki
Burdzy;Burdze
Krampy;Krampa
Łobody;Łoboda
Szczebli;Szczeble
Bąblinieńca;Bąbliniec
Pyszącej;Pysząca
Wytoka;Wytok
Kamiennego;Kamienny
Zagrody;Zagroda
Szwedów;Szwedzi
Zagrodów;Zagrody
Zabiałej;Zabiała
Zastawisk;Zastawiska
Żabiec;Żabce
Poważego;Poważe
Gąsek;Gąski
Kubiców;Kubice
Kozła;Kozieł
Kretowin;Kretowiny
Skaj;Skaje
Zadzimia;Zadzim
Niekurzy;Niekurza
Spotkania;Spotkanie
Kostur;Kostury
Osipów;Osipy
Podlesia;Podleś
Jagodzinieńca;Jagodziniec
Wirt;Wirty
Posucicic;Posucice
Koteż;Koteże
Wizentala;Wizental
Leobrada;Leobrad
Rówiec;Rówce
Oblaszek;Oblaszki
Zagrzędów;Zagrzędy
Ignachów;Ignachy
Wilkas;Wilkasy
Uliszek;Uliszki
Półćwiartek;Półćwiartki
Pomianu;Pomian
Dziasków;Dziaski
Marek;Marki
Bobaka;Bobak
Lasowych;Lasowe
Dobrzynia;Dobrzyń
Bzin;Bziny
Samogrodu;Samogród
Olechów;Olechy
Polokowia;Polokowie
Płonego;Płone
Stasiani;Stasianie
Kopaninin;Kopaniny
Żurady;Żurada
Robaw;Robawy
Wstronia;Wstronie
Moszyn;Moszyny
Cieśninin;Cieśniny
Sporniaka;Sporniak
Kolemczyczyc;Kolemczyce
Capków;Capki
Stepków;Stepki
Podchojników;Podchojniki
Germanichy;Germanicha
Bron;Brony
Przytok;Przytoki
Jarosławia;Jarosław
Lemana;Leman
Laury;Laura
Kadłubi;Kadłubia
Reszkowiec;Reszkowce
Wodokaczki;Wodokaczka
Sokuli;Sokule
Kuścińcniec;Kuścińce
Zawądródzia;Zawądródź
Ołoboku;Ołobok
Podbiesieśca;Podbiesiec
Bakuły;Bakuła
Unieradza;Unieradz
Szlam;Szlamy
Jażdża;Jażdże
Swór;Swory
Dubowskiej;Dubowska
Zabrogów;Zabrogi
Rzepowskiego;Rzepowskie
Czach;Czachy
Sławomierza;Sławomierz
Pokusów;Pokusy
Podmęczek;Podmęczki
Boksyckiej;Boksycka
Orzełków;Orzełki
Stramów;Stramy
Tapilkajm;Tapilkajmy
Zastawów;Zastawy
Jegli;Jegle
Obrotu;Obrót
Jamboreka;Jamborek
Ogorzałych;Ogorzałe
Habajdziaka;Habajdziak
Podstrumieni;Podstrumienie
Benenarda;Benenard
Wirek;Wirki
Polkowskiego;Polkowskie
Wielkolasu;Wielkolas
Zatrostynieńca;Zatrostyniec
Obrębu;Obrąb
Zachoinia;Zachoinie
Łyszczochów;Łyszczochy
Brend;Brendy
Samborza;Sambórz
Felicjana;Felicjan
Łumpi;Łumpia
Ponik;Poniki
Nunkajm;Nunkajmy
Rzałek;Rzałki
Uchryn;Uchryny
Żelek;Żelki
Orzyn;Orzyny
Stojadeł;Stojadła
Jeziorcza;Jeziorcze
Słoku;Słok
Kozienieńca;Kozieniec
Talików;Talikowie
Wyłudek;Wyłudki
Poduchownego;Poduchowne
Poduchownego;Poduchowny
Sitków;Sitki
Myszy;Mysze
Zelek;Zelki
Trąbów;Trąby
Ryniasa;Rynias
Seredlan;Seredlanie
Stracenieńca;Straceniec
Ustupu;Ustup
Zamachów;Zamachy
Krupca;Krupiec
Łukomierza;Łukomierz
Wojtusiców;Wojtusice
Kobelnik;Kobelniki
Maręży;Maręże
Kruszynieńca;Kruszyniec
Chlewisk;Chlewiska
Ściborów;Ścibory
Borzęciczek;Borzęciczki
Chraskich;Chraskie
Słomniczek;Słomniczki
Wajsnor;Wajsnory
Byka;Byk
Uszkowców;Uszkowce
Bartosza;Bartosz
Ofelii;Ofelia
Michaliszek;Michaliszki
Czesławowa;Czesławowo
Tretów;Trety
Piskorca;Piskorzec
Niegłos;Niegłosy
Roli;Rola
Psiepola;Psiepole
Milerzysk;Milerzyska
Brodu;Bród
Wop;Wopy
Supień;Supienie
Burni;Burnie
Mędrzyn;Mędrzyny
Dryi;Dryja
Stefków;Stefki
Łopaty;Łopata
Góry;Góra
Dobromyśla;Dobromyśl
Lubowidza;Lubowidz
Paszków;Paszki
Cerchli;Cerchla
Zarycza;Zarycze
Jonów;Jony
Satanów;Satany
Kuks;Kuksy
Chmielińskiego;Chmielińskie
Przytuł;Przytuły
Bonisławia;Bonisław
Ślagów;Ślagi
Wodoczy;Wodocza
Serok;Seroki
Wroniaw;Wroniawy
Upłazu;Upłaz
Jurczyczyc;Jurczyce
Banacha;Banach
Tokarzów;Tokarze
Burkota;Burkot
Gierałtowiczek;Gierałtowiczki
Buchty;Buchta
Czeczugów;Czeczugi
Pobiedzisk;Pobiedziska
Przedziałków;Przedziałki
Hutników;Hutniki
Zawiersza;Zawiersze
Smogórów;Smogóry
Czerśli;Czerśl
Darownego;Darowne
Rukał;Rukały
Moli;Mole
Łat;Łaty
Annoboru;Annobór
Wdżarów;Wdżary
Poćwiercia;Poćwiercie
Frywałdu;Frywałd
Balusi;Balusie
Prawiednik;Prawiedniki
Terebinieńca;Terebiniec
Galasów;Galasy
Moczela;Moczele
Żłobów;Żłoby
Karolichy;Karolicha
Łodzierza;Łodzierz
Szabdy;Szabda
Chobędzy;Chobędza
Swadzimia;Swadzim
Zawicek;Zawicki
Pęcicic;Pęcice
Zaskwiery;Zaskwiera
