Dopełniacz;Mianownik
Chobia;Chobie
Tysek;Tyski
Nadlesia;Nadlesie
Mawr;Mawry
Nietupy;Nietupa
Wyżnego;Wyżne
Zapcenia;Zapceń
Borzęckiego;Borzęckie
Blekicia;Blekicie
Podfigurza;Podfigurze
Krelikiejm;Krelikiejmy
Pawliszcza;Pawliszcze
Rajszuli;Rajszula
Cieszków;Cieszkowy
Bosiów;Bosie
Bosi;Bosia
Jagot;Jagoty
Bazarów;Bazary
Creni;Crenie
Jabłoni;Jabłoń
Klekotów;Klekoty
Wąsosza;Wąsosz
Sztrukwałdu;Sztrukwałd
Wabcza;Wabcz
Szymocicic;Szymocice
Murów;Mury
Podorabia;Podorabie
Młynowych;Młynowe
Fryckowskich;Fryckowskie
Kantyły;Kantyła
Kościelnych;Kościelni
Kościelnego;Kościelne
Kościelnej;Kościelna
Lubachów;Lubachowy
Przewoźnik;Przewoźniki
Zagościa;Zagość
Kulasów;Kulasy
Więcborka;Więcbork
Butorzy;Butorza
Butorzych;Butorzy
Lubat;Lubaty
Czeczotków;Czeczotki
Hulskiego;Hulskie
Mańczoka;Mańczok
Moczynia;Moczyń
Aksamitów;Aksamity
Kierzczanego;Kierzczane
Szczyptów;Szczypty
Balusi;Balusie
Kęcików;Kęciki
Sieradzkiej;Sieradzka
Saburów;Sabury
Miłuk;Miłuki
Gackich;Gackie
Goszcza;Goszcz
Gościradza;Gościradz
Gościradów;Gościrady
Drobisów;Drobisy
Sowowy;Sowowa
Magdalana;Magdalan
Rozbarka;Rozbark
Tąkieli;Tąkiele
Podkamiennego;Podkamienny
Mokradeł;Mokradła
Kotyzek;Kotyzki
Podkamiennego;Podkamienne
Werduna;Werdun
Jankowiec;Jankowce
Rączków;Rączki
Skalskiego;Skalskie
Baduni;Badunie
Śnieżek;Śnieżki
Urbaczkuli;Urbaczkula
Łazków;Łazki
Jarogniewia;Jarogniew
Budynku;Budynek
Kozieźla;Koziel
Kluczaka;Kluczak
Pogrzebca;Pogrzebiec
Perelisk;Pereliska
Koniecek;Koniecki
Piskary;Piskara
Tarnogaju;Tarnogaj
Paprotek;Paprotki
Chociwla;Chociwle
Ryszek;Ryszki
Trzeku;Trzek
Pitropu;Pitrop
Lnisk;Lniska
Wilchw;Wilchwy
Pietruchowego;Pietruchowe
Skubisów;Skubisy
Szarawary;Szarawara
Bogaczy;Bogacze
Homotów;Homoty
Więzików;Więziki
Wydrzywilka;Wydrzywilk
Zięciuków;Zięciuki
Burdzy;Burdze
Łobodów;Łobody
