Kościelnych;Kościelni
Szwedów;Szwedzi
Zawądródzia;Zawądródź
Kamszelów;Kamszeli
Kandydactów;Kandydaci
Brzoziego;Brzozi
Biegunów;Bieguni
Zagóździa;Zagóźdź
Grudzi;Grudź
Zimnych;Zimni
Zapowiedzi;Zapowiedź
Czeladzi;Czeladź
Pyrgiesów;Pyrgiesi
Borowych;Borowi
Zagródzia;Zagródź
Moczarnich;Moczarni
Brodzi;Bródź
Żmudzi;Żmudź
Bojasiów;Bojasi
Jurzystów;Jurzyści
Kadzi;Kadź
Capuciów;Capuci
Piergiesów;Piergiesi
Łobodzi;Łobódź
Pałędzia;Pałędź
Maślanich;Maślani
Koloniśctów;Koloniści
Dorazia;Doraź
Łabędzia;Łabędź
Miradza;Miradź
Pichuctów;Pichuci
Upełzi;Upełź
Podzabrzia;Podzabrzeź
Ćwierci;Ćwierci
Hankusów;Hankusi
Goździa;Góźdź
Wołodzia;Wołodź
Goczalów;Goczali
Gwoździa;Gwóźdź
Gródzi;Gródź
Niekładzia;Niekładź
Leśnych;Leśni
Świtezi;Świteź
Zapaści;Zapaści
Przi;Przewięź
Święctych;Święci
Pławul;Pławuli
Imienia;Imieni
Basiściów;Basiści
Łodzi;Łódź
Parcelanctów;Parcelanci
Trii;Trii
Jurasów;Jurasi
Sośniego;Sośni
Prochocia;Prochoci
Postrzedniego;Postrzedni
Żołędzi;Żołądź
Niedźwiedzia;Niedźwiedź
Zagórniego;Zagórni
Sołtysiego;Sołtysi
Malłych;Mali
Maciejnych;Maciejni
Rzepedzi;Rzepedź
Zarazi;Zaraź
Maciejenia;Maciejeni
Nadwodą;Nadwodą
Żywialich;Żywiali
Porzędzi;Porzędź
Palecznych;Paleczni
Miłobędzia;Miłobądź
Żubardzia;Żubardź
Dudysiów;Dudysi
Żerdzi;Żerdź
