Dopełniacz;Mianownik
Mariackiego;Mariackie
Polanicy Zdroju;Polanica Zdrój
Szczecina;Szczecin
Krzczonowa Drugiego;Krzczonów Drugi
Sianożątki;Sianożątka
Soroczego Mostku;Soroczy Mostek
Dąbrowca;Dąbrowiec
Bielowizny;Bielowizna
Góralic;Góralice
Gwizdowej;Gwizdowa
Chobia;Chobie
Radzikowic;Radzikowice
Osady Borku;Osada Borek
Sierpowa;Sierpów
Wronowa Kolonii;Wronów Kolonia
Pitkówki;Pitkówka
Gór pod Lasem;Góry pod Lasem
Juszkowego Grodu;Juszkowy Gród
Bazylianówki;Bazylianówka
Kuźlikówki;Kuźlikówka
Koło Kościoła;Koło Kościoła
Sitkowizny;Sitkowizna
Tysek;Tyski
Nadlesia;Nadlesie
Nowego Starogrodu;Nowy Starogród
Mawr;Mawry
Cisowa;Cisów
Gościszowa;Gościszów
Grąbkowa PierwszKolonii;Grąbkowo Kolonia Pierwsza
Ściborowa;Ściborowo
Łebków Dużych;Łebki Duże
Kolonii Zastowa;Kolonia Zastów
Kolonii Niecik;Kolonia Nieciki
Olesic;Olesice
Pod Świrtą;Pod Świrtą
Lamkówka;Lamkówko
Kolnicy;Kolnica
Nietupy;Nietupa
Kolonii Ślądkowic;Kolonia Ślądkowice
Bersonówki;Bersonówka
Wólki Leśnej;Wólka Leśna
Pokrzydowa Wybudowania;Pokrzydowo Wybudowanie
Skalaków;Skalaki
Wyżnego;Wyżne
Niedziałowic Pierwszych;Niedziałowice Pierwsze
Machnowa Starego;Machnów Stary
Podchoin;Podchoiny
Pruchnika Górnego;Pruchnik Górny
Starego Grzybowa;Stary Grzybów
Zapcenia;Zapceń
Borzęckiego;Borzęckie
Blekicia;Blekicie
Podfigurza;Podfigurze
Miąskowa;Miąskowo
Krelikiejm;Krelikiejmy
Białynina Latkowa;Białynin Latków
Brodzkich Młynów;Brodzkie Młyny
Pacółtówka;Pacółtówko
Staniszcz Małych;Staniszcze Małe
Hub Rzadkwińskich;Huby Rzadkwińskie
Radunia Osiedla;Raduń Osiedle
Klonówka;Klonówek
Warzyc;Warzyce
Łukoszyna Bików;Łukoszyno Biki
Wangut;Wanguty
Osiedla Grajwo;Osiedle Grajwo
Dmochów Mrozów;Dmochy Mrozy
Zdziaru Łopatek;Zdziar Łopatki
Kubinieńca;Kubiniec
Napłatka;Napłatek
Szerokiej Drogi;Szeroka Droga
Wyżnej Paproci;Wyżna Paproć
Kowerska;Kowersk
Darszyc Darzyna;Darszyce Darzyn
Porośli Grzyw;Porośl Grzywy
Kurian;Kuriany
Kopernicy;Kopernica
Zgorzelca;Zgorzelec
Skarżyna;Skarżyn
Słodzony;Słodzona
Karwit;Karwity
Gogolina;Gogolin
Samsonek;Samsonki
Bodzanówka;Bodzanówek
Białebłegobłota WieStarej;Białebłoto Stara Wieś
Chorupnika;Chorupnik
Skoczkowa;Skoczkowo
Obaldówki;Obaldówka
Nalepówki;Nalepówka
Janawina;Janawino
Urbaniaków;Urbaniaki
Ugajnika;Ugajnik
Świeligowa;Świeligów
Rostek Bajtkowskich;Rostki Bajtkowskie
Możdżanowa;Możdżanów
Sokolenieńca;Sokoleniec
Cieszków;Cieszkowy
Nowej Wsi Zbąskiej;Nowa Wieś Zbąska
Bogumiłka;Bogumiłek
Zaliwia Piegawek;Zaliwie Piegawki
Bosiów;Bosie
Bosi;Bosia
Odyńca;Odyniec
Jagot;Jagoty
Padołka;Padołek
Malwinowa;Malwinowo
Bazarów;Bazary
Creni;Crenie
Paczusek Dużych;Paczuski Duże
Kolonii Dąbrówki;Kolonia Dąbrówka Stany
Wysokiej Dąbrowy;Wysoka Dąbrowa
Woli Błażowskiej;Wola Błażowska
Kierzbunia;Kierzbuń
Mirosławina;Mirosławin
Niskich Gór;Niskie Góry
Arcugowa;Arcugowo
Wylan Kolonii;Wylany Kolonia
Jabłonia;Jabłoń
Pod Bramkę;Pod Bramkę
Jaromierska;Jaromiersko
Klekotów;Klekoty
Paluszków;Paluszki
Kolonii Studnicy;Kolonia Studnica
Nowej Wsi Przywidzkiej;Nowa Wieś Przywidzka
Sztrukwałdu;Sztrukwałd
Skociszew;Skociszewy
Wabcza;Wabcz
Baborówka;Baborówko
Głupic Parceli;Głupice Parcela
Czudowic;Czudowice
Szymocicic;Szymocice
Szmytowa;Szmytowo
Murów;Mury
Gorzenia Górnego;Gorzeń Górny
Nogawek;Nogawki
Bełchówki;Bełchówka
Bobowej;Bobowa
Tyborowa;Tyborów
Bobowa;Bobowo
Lubuszanki;Lubuszanka
Glinika Charzewskiego;Glinik Charzewski
Młynowych;Młynowe
Kolonii Szpondowa;Kolonia Szpondowo
Fryckowskich;Fryckowskie
Na Zahorodziu;Na Zahorodziu
Gościejowic Małych;Gościejowice Małe
Kolonii Konradowa;Kolonia Konradów
Kantyły;Kantyła
Grafki;Grafka
Do Żabińca;Do Żabińca
Młynowa;Młynowo
Marszałkówki;Marszałkówka
Trząski Zawodzia;Trząska Zawodzie
Kwilna;Kwilno
Kościelnych;Kościelni
Jurczaków;Jurczaki
U Czarnego;U Czarnego
Kozowa;Kozowo
Kościelnego;Kościelne
Kościelnej;Kościelna
Stanka;Stank
Kalembiny;Kalembina
Bagiczy;Bagicz
Zimnej;Zimna
Kaweczkówki;Kaweczkówka
Kaliszanek;Kaliszanki
Lubachów;Lubachowy
Przewoźnik;Przewoźniki
Jakaci Młodej;Jakać Młoda
Wielkiego Konopatu;Wielki Konopat
Świątkowa;Świątkowo
Huty Głodowskiej;Huta Głodowska
Klotyldzina;Klotyldzin
Dolanka;Dolanek
Nowego Tuchomia;Nowy Tuchom
Zagościa;Zagość
Bożegopola Królewskiego;Bożepole Królewskie
Kamianek Nicek;Kamianki Nicki
Pieńków Szczepockich;Pieńki Szczepockie
Kulasów;Kulasy
Rudzkiego Młyna;Rudzki Młyn
Koniewa Osady;Koniewo Osada
Jagielna;Jagielno
Butorzy;Butorza
Jeżówki Kolonii;Jeżówka Kolonia
Kiełminy;Kiełmina
Butorzych;Butorzy
Kikit;Kikity
Braciejówki;Braciejówka
Surmówki Wyżnej;Surmówka Wyżna
Lubat;Lubaty
Zakaniowa;Zakaniów
Leokadiowa Górnego;Leokadiów Górny
Przybytniówki;Przybytniówka
Starego Walercina;Stary Walercin
Czubajowizny;Czubajowizna
Ławicy;Ławica
Kolonii Wygnanowa;Kolonia Wygnanów
Ławic;Ławice
Koskowa;Koskowo
Czeczotków;Czeczotki
W Kopcu;W Kopcu
Biebrówka;Biebrówek
Księżego Pola;Księże Pole
Zaprężyna;Zaprężyn
Koskowej;Koskowa
Przytkowic;Przytkowice
Cedyni;Cedynia
Kolonii Dańców;Kolonia Dańce
Hulskiego;Hulskie
Bidzin Folwarku;Bidziny Folwark
Kleczewa;Kleczew
Kolonii Wiercienia Małego;Kolonia Wiercień Mały
Mańczoka;Mańczok
Wardzyna;Wardzyn
Zaścianek;Zaścianki
Kask Budek;Kaski Budki
Derpowizny;Derpowizna
Piorunowa;Piorunowo
Moczynia;Moczyń
Aksamitów;Aksamity
Żyrzyna Małego;Żyrzyn Mały
Kierzczanego;Kierzczane
Zalesia Kolonii;Zalesie Kolonia
Suchodolca;Suchodolec
Szczyptów;Szczypty
Swarzędza Południa;Swarzędz Południe
Ignatek Kolonii;Ignatki Kolonia
Brzyzka;Brzyzek
Podleszna;Podleszno
Wolicy Drugiej;Wolica Druga
Stockiego Młyna;Stocki Młyn
Pająkówki;Pająkówka
Jeleniego Boru;Jeleni Bór
Patrysiaków;Patrysiaki
Kolonii Okalewskiej;Kolonia Okalewska
Komosy;Komosa
Białej Rawskiej;Biała Rawska
Gajówki Jasienieńca;Gajówka Jasieniec
Kęcików;Kęciki
Stryczkowa;Stryczków
Kałuszyna;Kałuszyn
