Dopełniacz;Mianownik;Wynik Stemmera
Polanicy-Zdroju;Polanica-Zdrój;Polanica-Zdrój;ADACABB ACACACB 
Sianożątki;Sianożątka;Sianożątka;ADAB 
Soroczego Mostku;Soroczy Mostek;Soroczy Mostek;AAEB ACABBA 
Dąbrowca;Dąbrowiec;Dąbrowiec;ACACBC 
Bielowizny;Bielowizna;Bielowizna;ADAAA 
Gwizdowej;Gwizdowa;Gwizdowa;CAB 
Osady Borku;Osada Borek;Osada Borek;ADAAA ACABBA 
Pitkówki;Pitkówka;Pitkówka;ADAB 
Juszkowego Grodu;Juszkowy Gród;Juszkowy Gród;CAB ACAAAAA 
Kuźlikówki;Kuźlikówka;Kuźlikówka;ADAB 
Sitkowizny;Sitkowizna;Sitkowizna;ADAAA 
Nowego Starogrodu;Nowy Starogród;Nowy Starogród;CAB ACAAAAA 
Bersonówki;Bersonówka;Bersonówka;ADAB 
Wólki Leśnej;Wólka Leśna;Wólka Leśna;ADAB ADACCBA 
Osiedla Grajwo;Osiedle Grajwo;Osiedle Grajwo;BDA AEAAAB 
Napłatka;Napłatek;Napłatek;ACABBA 
Wyżnej Paproci;Wyżna Paproć;Wyżna Paproć;ADACCBA ADCAAA 
Zgorzelca;Zgorzelec;Zgorzelec;AAACBA 
Chorupnika;Chorupnik;Chorupnik;AAACBA 
Obaldówki;Obaldówka;Obaldówka;ADAB 
Nalepówki;Nalepówka;Nalepówka;ADAB 
Ugajnika;Ugajnik;Ugajnik;ACABBA 
Bogumiłka;Bogumiłek;Bogumiłek;ACABBA 
Odyńca;Odyniec;Odyniec;ABAAAB 
Padołka;Padołek;Padołek;ACABBA 
Wysokiej Dąbrowy;Wysoka Dąbrowa;Wysoka Dąbrowa;ADACCBB ADAAA 
Jaromierska;Jaromiersko;Jaromiersko;AEAAAA 
Kolonii Studnicy;Kolonia Studnica;Kolonia Studnica;ADACBAA ADACABB 
Sztrukwałdu;Sztrukwałd;Sztrukwałd;ACAAAAA 
Wabcza;Wabcz;Wabcz;ACACBBA 
Bełchówki;Bełchówka;Bełchówka;ADAB 
Bobowej;Bobowa;Bobowa;CAB 
Lubuszanki;Lubuszanka;Lubuszanka;ADAB 
Grafki;Grafka;Grafka;ADAB 
Marszałkówki;Marszałkówka;Marszałkówka;ADAB 
Trząski-Zawodzia;Trząska-Zawodzie;Trząska-Zawodzie;ADAB AEBAC 
Kościelnej;Kościelna;Kościelna;CAB 
Kalembiny;Kalembina;Kalembina;ADAAA 
Zimnej;Zimna;Zimna;ADACCBA 
Kaweczkówki;Kaweczkówka;Kaweczkówka;ADAB 
Wielkiego Konopatu;Wielki Konopat;Wielki Konopat;CBA ACAAAAA 
Zagościa;Zagość;Zagość;AAABCB 
Rudzkiego Młyna;Rudzki Młyn;Rudzki Młyn;CBA ACAABAA 
Jeżówki-Kolonii;Jeżówka-Kolonia;Jeżówka-Kolonia;ADAB ADACBAA 
Kiełminy;Kiełmina;Kiełmina;ADAAA 
Butorzych;Butorzy;Butorzy;AAEA 
Braciejówki;Braciejówka;Braciejówka;ADAB 
Surmówki Wyżnej;Surmówka Wyżna;Surmówka Wyżna;ADAB ADACCBA 
Przybytniówki;Przybytniówka;Przybytniówka;ADAB 
Czubajowizny;Czubajowizna;Czubajowizna;ADAAA 
Ławicy;Ławica;Ławica;ADACABB 
Koskowej;Koskowa;Koskowa;CAB 
Kolonii Wiercienia Małego;Kolonia Wiercień Mały;Kolonia Wiercień Mały;ADACBAA ACACBAA CAB 
Mańczoka;Mańczok;Mańczok;ABAC 
Derpowizny;Derpowizna;Derpowizna;ADAAA 
Suchodolca;Suchodolec;Suchodolec;ACACBC 
Brzyzka;Brzyzek;Brzyzek;ACABBA 
Stockiego Młyna;Stocki Młyn;Stocki Młyn;CBA ACAABAA 
Pająkówki;Pająkówka;Pająkówka;ADAB 
Kolonii Okalewskiej;Kolonia Okalewska;Kolonia Okalewska;ADACBAA ADACCBB 
Komosy;Komosa;Komosa;ADAAA 
