Dopełniacz;Mianownik;Wynik Stemmera
Mariackiego;Mariackie;Mariacki;CBA 
Szczecina;Szczecin;Szczecina;ADAAA 
Krzczonowa Drugiego;Krzczonów Drugi;Krzczonowa Drugi;CAB CBA 
Góralic;Góralice;Góralica;ADACABB 
Chobia;Chobie;Chobia;ADACBAA 
Radzikowic;Radzikowice;Radzikowica;ADACABB 
Sierpowa;Sierpów;Sierpowa;CAB 
Wronowa-Kolonii;Wronów-Kolonia;Wronowa-Kolonia;ADACCAA ADACBAA 
Gór pod Lasem;Góry pod Lasem;Gór poda Las;ACAAAAA ADAAA ACAAAAA 
Bazylianówki;Bazylianówka;Bazylianówki;AGBA 
Koło Kościoła;Koło Kościoła;Koła Kościół;ADAAA ACAABAA 
Tysek;Tyski;Tyska;ADAB 
Nadlesia;Nadlesie;Nadleś;AAABAB 
Mawr;Mawry;Mawra;ADAAA 
Cisowa;Cisów;Cisowa;ADAAA 
Gościszowa;Gościszów;Gościszowa;ADACCAA 
Grąbkowa PierwszKolonii;Grąbkowo-Kolonia Pierwsza;Grąbkowa PierwszKolonia;ADACBAA 
Ściborowa;Ściborowo;Ściborowa;CAB 
Łebków Dużych;Łebki Duże;Łebek Duży;ACABBA AAEA 
Kolonii Zastowa;Kolonia Zastów;Kolonia Zastowa;ADACBAA CAB 
Kolonii Niecik;Kolonia Nieciki;Kolonia Niecik;ADACBAA ACABA 
Olesic;Olesice;Olesica;ADACABB 
Pod Świrtą;Pod Świrtą;Poda Świrta;ADAAA ADAAA 
Lamkówka;Lamkówko;Lamkówka;ADAB 
Kolnicy;Kolnica;Kolnik;AAACBA 
Nietupy;Nietupa;Nietup;ACAAAAA 
Kolonii Ślądkowic;Kolonia Ślądkowice;Kolonia Ślądkowica;ADACBAA ADACABB 
Pokrzydowa-Wybudowania;Pokrzydowo-Wybudowanie;Pokrzydowa-Wybudowanie;ADAAA AEBAA 
Skalaków;Skalaki;Skalak;ABAC 
Wyżnego;Wyżne;Wyżny;CAB 
Niedziałowic Pierwszych;Niedziałowice Pierwsze;Niedziałowica Pierwsza;ADACABB CAB 
Machnowa Starego;Machnów Stary;Machnowa Stary;ADAAA CAA 
Podchoin;Podchoiny;Podchoina;ADAAA 
Pruchnika Górnego;Pruchnik Górny;Pruchnika Górny;ADAB CAB 
Starego Grzybowa;Stary Grzybów;Stary Grzybowa;CAA CAB 
Zapcenia;Zapceń;Zapcenie;AEBAA 
Borzęckiego;Borzęckie;Borzęcki;CBA 
Blekicia;Blekicie;Blekicia;ADACBBB 
Podfigurza;Podfigurze;Podfigurza;AABABB 
Miąskowa;Miąskowo;Miąskowa;CAB 
Krelikiejm;Krelikiejmy;Krelikiejm;ACAAAAA 
Białynina-Latkowa;Białynin-Latków;Białynina-Latkowa;ADAAA CAB 
Brodzkich Młynów;Brodzkie Młyny;Brodzki Młyn;CBA ACAABAA 
Pacółtówka;Pacółtówko;Pacółtówka;ADAB 
Staniszcz Małych;Staniszcze Małe;Staniszcza Mała;AGDAA ADACCBA 
Hub Rzadkwińskich;Huby Rzadkwińskie;Hub Rzadkwiński;ACAAAAA ADACCBB 
Radunia-Osiedla;Raduń-Osiedle;Radunio-Osiedle;AACABB BDA 
Klonówka;Klonówek;Klonówka;ADAB 
Warzyc;Warzyce;Warzyca;ADACABB 
Łukoszyna-Bików;Łukoszyno-Biki;Łukoszyna-Bik;ADAAA ACABBA 
Wangut;Wanguty;Wangut;ACAAAAA 
Dmochów-Mrozów;Dmochy-Mrozy;Dmoch-Mróz;ACAAAB ACAAAAA 
