Dopełniacz;Mianownik;Wynik Stemmera
Dopełniacz;Mianownik;Dopełniacz;
Władzimirowa;Władzimirów;Władzimirowy;
Bryzgowa;Bryzgów;Bryzgowy;
Dębian;Dębiany;Dębianin;
Szczecina;Szczecin;Szczecina;
Szopowego;Szopowe;Szopowy;
Wielgłów;Wielgłowy;Wielgłów;
Włochówki;Włochówka;Włochówek;
Poschły;Poschła;Poschły;
Horodła;Horodło;Horodły;
Palat;Palaty;Palata;
Reczula;Reczul;Reczula;
Tomaszkowic;Tomaszkowice;Tomaszkowica;
Chobia;Chobie;Chobia;
Radzikowic;Radzikowice;Radzikowica;
Romanówki;Romanówka;Romanówki;
Kromszewic;Kromszewice;Kromszewica;
Sierpowa;Sierpów;Sierpowy;
Suchorzowa;Suchorzów;Suchorzowy;
Skarżynia;Skarżyń;Skarżynia;
Rzakty;Rzakta;Rzakt;
Paarów;Paary;Paar;
Szydlic;Szydlice;Szydlica;
Mawr;Mawry;Mawra;
Cisowa;Cisów;Cisowy;
Gościszowa;Gościszów;Gościszowy;
Emowa;Emowo;Emowy;
Strachomina;Strachomino;Strachomin;
Skrzeszew;Skrzeszewy;Skrzeszwa;
Samborowa;Samborowo;Samborowy;
Olesic;Olesice;Olesica;
Skowieszyna;Skowieszyn;Skowieszyna;
Dłutowa;Dłutowo;Dłutowy;
Wieruchowa;Wieruchów;Wieruchowy;
Lamkówka;Lamkówko;Lamkówka;
Faściszowej;Faściszowa;Faściszowy;
Kurówka;Kurówek;Kurówka;
Sobiecina;Sobiecin;Sobiecina;
Bełku;Bełek;Bełko;
Grzymysławic;Grzymysławice;Grzymysławica;
Tomaszowic;Tomaszowice;Tomaszowica;
Niemieczkowa;Niemieczkowo;Niemieczkowy;
Beszyna;Beszyn;Beszyna;
Przykor;Przykory;Przykora;
Zapcenia;Zapceń;Zapcenie;
Borzęckiego;Borzęckie;Borzęcki;
Czechla;Czechel;Czechla;
Biadek;Biadki;Biadek;
Dobrzyniewa;Dobrzyniewo;Dobrzyniewa;
Stefanowic;Stefanowice;Stefanowica;
Siemnówka;Siemnówek;Siemnówka;
Szumowa;Szumowo;Szumowy;
Klonówka;Klonówek;Klonówka;
Robertowa;Robertowo;Robertowy;
Warzyc;Warzyce;Warzyca;
Bąsz;Bąsze;Bąsz;
Lisewa;Lisewo;Lisewa;
Rażen;Rażny;Rażen;
Rusinowa;Rusinowo;Rusinowy;
Ochudna;Ochudno;Ochudny;
Wierszyna;Wierszyno;Wierszyn;
Czerniejowa;Czerniejów;Czerniejowy;
Wymokłego;Wymokłe;Wymokły;
Dunowa;Dunowo;Dunowy;
Rdutowa;Rdutów;Rdutowy;
Kowerska;Kowersk;Kowerski;
Tarnowy;Tarnowa;Tarnowy;
Bystrowic;Bystrowice;Bystrowica;
Waliszewa;Waliszew;Waliszewo;
Kułyg;Kułygi;Kułyga;
Kurian;Kuriany;Kurianin;
Kopernicy;Kopernica;Kopernik;
Kromolic;Kromolice;Kromolica;
Skarżyna;Skarżyn;Skarżyna;
Ząbia;Ząbie;Ząbia;
Drewnik;Drewniki;Drewnik;
Gogolina;Gogolin;Gogolina;
Gilowa;Gilów;Gilowy;
Skaj;Skaje;Skaj;
Bodzanówka;Bodzanówek;Bodzanówka;
