Dopełniacz;Mianownik;Wynik Stemmera
Dopełniacz;Mianownik;Dopełniacz;
Władzimirowa;Władzimirów;Władzimirowa;
Bryzgowa;Bryzgów;Bryzgowa;
Dębian;Dębiany;Dębianin;
Szczecina;Szczecin;Szczecina;
Szopowego;Szopowe;Szopowy;
Wielgłów;Wielgłowy;Wielgłów;
Włochówki;Włochówka;Włochówek;
Palat;Palaty;Palata;
Reczula;Reczul;Reczula;
Tomaszkowic;Tomaszkowice;Tomaszkowica;
Chobia;Chobie;Chobia;
Radzikowic;Radzikowice;Radzikowica;
Romanówki;Romanówka;Romanówki;
Kromszewic;Kromszewice;Kromszewica;
Sierpowa;Sierpów;Sierpowa;
Suchorzowa;Suchorzów;Suchorzowa;
Skarżynia;Skarżyń;Skarżynia;
Rzakty;Rzakta;Rzakt;
Paarów;Paary;Paar;
Szydlic;Szydlice;Szydlica;
Mawr;Mawry;Mawra;
Cisowa;Cisów;Cisowa;
Gościszowa;Gościszów;Gościszowa;
Emowa;Emowo;Emowa;
Strachomina;Strachomino;Strachomin;
Skrzeszew;Skrzeszewy;Skrzeszwa;
Samborowa;Samborowo;Samborowa;
Olesic;Olesice;Olesica;
Skowieszyna;Skowieszyn;Skowieszyna;
Dłutowa;Dłutowo;Dłutowa;
Lamkówka;Lamkówko;Lamkówka;
Kurówka;Kurówek;Kurówka;
Sobiecina;Sobiecin;Sobiecina;
Bełku;Bełek;Bełko;
Grzymysławic;Grzymysławice;Grzymysławica;
Tomaszowic;Tomaszowice;Tomaszowica;
Niemieczkowa;Niemieczkowo;Niemieczkowa;
Beszyna;Beszyn;Beszyna;
Przykor;Przykory;Przykora;
Zapcenia;Zapceń;Zapcenie;
Borzęckiego;Borzęckie;Borzęcki;
Czechla;Czechel;Czechla;
Biadek;Biadki;Biadek;
Dobrzyniewa;Dobrzyniewo;Dobrzyniewa;
Stefanowic;Stefanowice;Stefanowica;
Siemnówka;Siemnówek;Siemnówka;
Szumowa;Szumowo;Szumowa;
Klonówka;Klonówek;Klonówka;
Robertowa;Robertowo;Robertowa;
Warzyc;Warzyce;Warzyca;
Bąsz;Bąsze;Bąsz;
Lisewa;Lisewo;Lisewa;
