Dopełniacz;Mianownik;Wynik Stemmera
Dopełniacz;Mianownik;Dopełniacz;
Radzikowic;Radzikowice;Radzikowica;
Szczecina;Szczecin;Szczecina;
Chobia;Chobie;Chobia;
Mawr;Mawry;Mawra;
Cisowa;Cisów;Cisowy;
Gościszowa;Gościszów;Gościszowy;
Olesic;Olesice;Olesica;
Lamkówka;Lamkówko;Lamkówka;
Kolnicy;Kolnica;Kolnik;
Nietupy;Nietupa;Nietup;
Wyżnego;Wyżne;Wyżny;
Zapcenia;Zapceń;Zapcenie;
Borzęckiego;Borzęckie;Borzęcki;
Miąskowa;Miąskowo;Miąskowy;
Krelikiejm;Krelikiejmy;Krelikiejm;
Pacółtówka;Pacółtówko;Pacółtówka;
Klonówka;Klonówek;Klonówka;
Warzyc;Warzyce;Warzyca;
Wangut;Wanguty;Wangut;
Kowerska;Kowersk;Kowerski;
Kurian;Kuriany;Kurianin;
Kopernicy;Kopernica;Kopernik;
Skarżyna;Skarżyn;Skarżyna;
Gogolina;Gogolin;Gogolina;
Bodzanówka;Bodzanówek;Bodzanówka;
Skoczkowa;Skoczkowo;Skoczkowy;
Świeligowa;Świeligów;Świeligowy;
Możdżanowa;Możdżanów;Możdżanowy;
Cieszków;Cieszkowy;Cieszek;
Żądłowic;Żądłowice;Żądłowica;
Jagot;Jagoty;Jagot;
Malwinowa;Malwinowo;Malwinowy;
Kierzbunia;Kierzbuń;Kierzbunia;
Mirosławina;Mirosławin;Mirosławina;
Arcugowa;Arcugowo;Arcugowy;
Jabłonia;Jabłoń;Jabłonie;
Wabcza;Wabcz;Wabczy;
Krasienina;Krasienin;Krasienina;
Czudowic;Czudowice;Czudowica;
Nogawek;Nogawki;Nogawka;
Bobowej;Bobowa;Bobowy;
Tyborowa;Tyborów;Tyborowy;
Bobowa;Bobowo;Bobowy;
Gawinianiec;Gawiniańce;Gawinianiec;
Kantyły;Kantyła;Kantyły;
Młynowa;Młynowo;Młynowy;
Kwilna;Kwilno;Kwilny;
Kozowa;Kozowo;Kozowy;
Kościelnego;Kościelne;Kościelny;
Brusowa;Brusów;Brusowy;
Wilkanowa;Wilkanowo;Wilkanowy;
Lubachów;Lubachowy;Lubach;
Przewoźnik;Przewoźniki;Przewoźnik;
Świątkowa;Świątkowo;Świątkowy;
Klotyldzina;Klotyldzin;Klotyldzina;
Więcborka;Więcbork;Więcborek;
Jagielna;Jagielno;Jagielny;
Chlewisk;Chlewiska;Chlewisko;
Kikit;Kikity;Kikit;
Skarżynia;Skarżyń;Skarżynia;
Lubat;Lubaty;Lubat;
Ławic;Ławice;Ławica;
Głodówka;Głodówko;Głodówka;
Czeczotek;Czeczotki;Czeczotka;
Zaprężyna;Zaprężyn;Zaprężyna;
Przytkowic;Przytkowice;Przytkowica;
Cedyni;Cedynia;Cedyny;
Jankielówki;Jankielówka;Jankielówki;
Hulskiego;Hulskie;Hulski;
Kleczewa;Kleczew;Kleczewać;
Wardzyna;Wardzyn;Wardzyna;
Wardężyna;Wardężyn;Wardężyna;
Kałuszyna;Kałuszyn;Kałuszyna;
Gorodczyna;Gorodczyno;Gorodczyna;
Miłuk;Miłuki;Miłuk;
Cieślina;Cieślin;Cieślina;
Goszcza;Goszcz;Goszczać;
Lejkówka;Lejkówko;Lejkówka;
Winowa;Winów;Winowy;
Gościradów;Gościrady;Gościrad;
Krąpiewa;Krąpiewo;Krąpiewać;
Witkowa;Witków;Witkowy;
Mejznerzyna;Mejznerzyn;Mejznerzynać;
Chroślic;Chroślice;Chroślica;
Konarskiego;Konarskie;Konarski;
Mokradeł;Mokradła;Mokradło;
Nosalewic;Nosalewice;Nosalewica;
Krobanówka;Krobanówek;Krobanówka;
Niegolewa;Niegolewo;Niegolewać;
Bieszkowic;Bieszkowice;Bieszkowica;
Kluczewska;Kluczewsko;Kluczewski;
Kozinek;Kozinki;Kozinka;
Jankowiec;Jankowce;Jankowiec;
Rączek;Rączki;Rączka;
Niesadny;Niesadna;Niesadny;
Arciechowa;Arciechów;Arciechowy;
Broszkowic;Broszkowice;Broszkowica;
Śnieżek;Śnieżki;Śnieżek;
Pogrzybowa;Pogrzybów;Pogrzybowa;
Jarogniewia;Jarogniew;Jarogniewiać;
Kozieźla;Koziel;Kozieźlać;
Giesków;Gieski;Giesek;
Kaput;Kaputy;Kaput;
Koniecek;Koniecki;Koniecka;
Paprotek;Paprotki;Paprotka;
Wroniaw;Wroniawy;Wroniawa;
Kiełpinka;Kiełpinek;Kiełpinka;
Ryszek;Ryszki;Ryszka;
Lnisk;Lniska;Lnisko;
Gawerkowa;Gawerków;Gawerkowy;
Popowa;Popów;Popowy;
Koszyc;Koszyce;Koszyca;
Miłowic;Miłowice;Miłowica;
Wiadrowa;Wiadrowo;Wiadrowa;
Homotów;Homoty;Homot;
Stępocina;Stępocin;Stępocina;
Dylewka;Dylewko;Dylewka;
Dionizowa;Dionizów;Dionizowy;
Robaczewa;Robaczewo;Robaczewać;
Łobodów;Łobody;Łobód;
Jarzyc;Jarzyce;Jarzyca;
Łososiowic;Łososiowice;Łososiowica;
Radkowa;Radków;Radkowy;
Średzińskich;Średzińskie;Średziński;
Łobody;Łoboda;Łobody;
Smaszewa;Smaszew;Smaszewać;
Pyszącej;Pysząca;Pyszący;
Zagnańska;Zagnańsk;Zagnański;
Wytoka;Wytok;Wytoka;
Zagrodów;Zagrody;Zagród;
Radomic;Radomice;Radomica;
Gaszowa;Gaszów;Gaszowy;
Kamiennnego;Kamienne;Kamiennny;
Kamiennnej;Kamienna;Kamiennny;
Samolubia;Samolubie;Samolubiać;
Gąsek;Gąski;Gąska;
Kubic;Kubice;Kubica;
Kozła;Kozieł;Keźć;
Zaklikowa;Zaklików;Zaklikowy;
Większyc;Większyce;Większyca;
Wtórka;Wtórek;Wtórka;
Chajdyc;Chajdyce;Chajdyca;
Jaryszowa;Jaryszów;Jaryszowy;
Kretowin;Kretowiny;Kretowina;
Skaj;Skaje;Skać;
Czachówek;Czachówki;Czachówka;
Niekurzy;Niekurza;Niekurzyć;
Daszewic;Daszewice;Daszewica;
Piskajn;Piskajny;Piskajn;
Chocianowa;Chocianów;Chocianowy;
Pasiecznej;Pasieczna;Pasieczny;
Rogózieźca;Rogóziec;Rogózieziec;
Wolbromowa;Wolbromów;Wolbromowy;
Perzyn;Perzyny;Perzyna;
Koteż;Koteże;Koteż;
Momajn;Momajny;Momajn;
Grodni;Grodnia;Grodny;
Sarnówka;Sarnówek;Sarnówka;
Steblewa;Steblewo;Steblewać;
Rówiec;Rówce;Rówiec;
Tyrszelin;Tyrszeliny;Tyrszelina;
Nowolesia;Nowolesie;Nowoleś;
Jesionnny;Jesionna;Jesionnny;
Gostyczyny;Gostyczyna;Gostyczyn;
Czerwieńska;Czerwieńsk;Czerwieński;
Niedar;Niedary;Niedar;
Kopydłowa;Kopydłów;Kopydłowy;
Pruchnika;Pruchnik;Pruchnika;
Bryńska;Bryńsk;Bryński;
Jankowa;Janków;Jankowy;
Marków;Marki;Marek;
Daniłowa;Daniłowo;Daniłowy;
Dobrzynia;Dobrzyń;Dobrzyniać;
Śremska;Śremsko;Śremski;
Dobrzykowa;Dobrzykowo;Dobrzykowy;
Antosina;Antosin;Antosina;
Rębiszowa;Rębiszów;Rębiszowy;
Niedarzyna;Niedarzyn;Niedarzynać;
Dorowa;Dorowo;Dorowy;
Chodlewa;Chodlewo;Chodlewać;
Galumina;Galumin;Galumina;
Rejowa;Rejów;Rejowy;
Kopanina;Kopanino;Kopanina;
Bębnowa;Bębnów;Bębnowy;
Kopaninin;Kopaniny;Kopaninina;
Gardna;Gardno;Gardny;
Tymina;Tymin;Tymina;
Robaw;Robawy;Robawić;
Moszyn;Moszyny;Moszyna;
Kończewa;Kończewo;Kończewać;
Kolemczyczyc;Kolemczyce;Kolemczyczyca;
Głodzina;Głodzino;Głodzina;
Rębisk;Rębiska;Rębisko;
Lewic;Lewice;Lewica;
Przytoki;Przytoka;Przytok;
Bron;Brony;Bron;
Jarosławia;Jarosław;Jarosławie;
Sarny;Sarna;Sarny;
Lemana;Leman;Lemany;
Kadłubi;Kadłubia;Kadłubić;
Sarn;Sarny;Sarn;
Godaszewic;Godaszewice;Godaszewica;
Duńkowic;Duńkowice;Duńkowica;
