Dopełniacz;Mianownik;Wynik Stemmera
Dopełniacz;Mianownik;Dopełniacz;
Radzikowic;Radzikowice;Radzikowica;
Szczecina;Szczecin;Szczecina;
Chobia;Chobie;Chobia;
Mawr;Mawry;Mawra;
Cisowa;Cisów;Cisowa;
Gościszowa;Gościszów;Gościszowa;
Olesic;Olesice;Olesica;
Lamkówka;Lamkówko;Lamkówka;
Kolnicy;Kolnica;Kolnik;
Nietupy;Nietupa;Nietup;
Wyżnego;Wyżne;Wyżny;
Zapcenia;Zapceń;Zapcenie;
Borzęckiego;Borzęckie;Borzęcki;
Miąskowa;Miąskowo;Miąskowa;
Krelikiejm;Krelikiejmy;Krelikiejm;
Pacółtówka;Pacółtówko;Pacółtówka;
Klonówka;Klonówek;Klonówka;
Warzyc;Warzyce;Warzyca;
Wangut;Wanguty;Wangut;
Kowerska;Kowersk;Kowersko;
Kurian;Kuriany;Kurianin;
Kopernicy;Kopernica;Kopernik;
Skarżyna;Skarżyn;Skarżyna;
Gogolina;Gogolin;Gogolina;
Bodzanówka;Bodzanówek;Bodzanówka;
Skoczkowa;Skoczkowo;Skoczkowa;
Świeligowa;Świeligów;Świeligowa;
Możdżanowa;Możdżanów;Możdżanowa;
Cieszków;Cieszkowy;Cieszek;
Żądłowic;Żądłowice;Żądłowica;
Jagot;Jagoty;Jagot;
Malwinowa;Malwinowo;Malwinowa;
Kierzbunia;Kierzbuń;Kierzbunia;
Mirosławina;Mirosławin;Mirosławina;
Arcugowa;Arcugowo;Arcugowa;
Jabłonia;Jabłoń;Jabłonie;
Krasienina;Krasienin;Krasienina;
Czudowic;Czudowice;Czudowica;
Nogawek;Nogawki;Nogawka;
Tyborowa;Tyborów;Tyborowa;
Bobowa;Bobowo;Bobowa;
Gawinianiec;Gawiniańce;Gawinianiec;
Kantyły;Kantyła;Kantył;
Młynowa;Młynowo;Młynowa;
Kwilna;Kwilno;Kwilna;
Kozowa;Kozowo;Kozowa;
Kościelnego;Kościelne;Kościelny;
Brusowa;Brusów;Brusowa;
Wilkanowa;Wilkanowo;Wilkanowa;
Lubachów;Lubachowy;Lubach;
Przewoźnik;Przewoźniki;Przewoźnik;
Świątkowa;Świątkowo;Świątkowa;
Klotyldzina;Klotyldzin;Klotyldzina;
Więcborka;Więcbork;Więcborek;
Jagielna;Jagielno;Jagielna;
Chlewisk;Chlewiska;Chlewisko;
Kikit;Kikity;Kikit;
Skarżynia;Skarżyń;Skarżynia;
Lubat;Lubaty;Lubat;
Ławic;Ławice;Ławica;
Głodówka;Głodówko;Głodówka;
Czeczotek;Czeczotki;Czeczotka;
Zaprężyna;Zaprężyn;Zaprężyna;
Przytkowic;Przytkowice;Przytkowica;
Cedyni;Cedynia;Cedyn;
Jankielówki;Jankielówka;Jankielówki;
Hulskiego;Hulskie;Hulski;
Kleczewa;Kleczew;Kleczewo;
Wardzyna;Wardzyn;Wardzyna;
Wardężyna;Wardężyn;Wardężyna;
Kałuszyna;Kałuszyn;Kałuszyna;
Gorodczyna;Gorodczyno;Gorodczyna;
Miłuk;Miłuki;Miłuk;
Cieślina;Cieślin;Cieślina;
Lejkówka;Lejkówko;Lejkówka;
Winowa;Winów;Winowa;
Gościradów;Gościrady;Gościrad;
Krąpiewa;Krąpiewo;Krąpiewa;
Witkowa;Witków;Witkowa;
Mejznerzyna;Mejznerzyn;Mejznerzyna;
Chroślic;Chroślice;Chroślica;
Konarskiego;Konarskie;Konarski;
Mokradeł;Mokradła;Mokradło;
Nosalewic;Nosalewice;Nosalewica;
Krobanówka;Krobanówek;Krobanówka;
Niegolewa;Niegolewo;Niegolewa;
Bieszkowic;Bieszkowice;Bieszkowica;
Kozinek;Kozinki;Kozinka;
Jankowiec;Jankowce;Jankowiec;
Rączek;Rączki;Rączka;
Niesadny;Niesadna;Niesadny;
Broszkowic;Broszkowice;Broszkowica;
Śnieżek;Śnieżki;Śnieżek;
Pogrzybowa;Pogrzybów;Pogrzybowa;
Jarogniewia;Jarogniew;Jarogniewie;
Kozieźla;Koziel;Kozieźle;
Giesków;Gieski;Giesek;
Kaput;Kaputy;Kaput;
Koniecek;Koniecki;Koniecka;
Paprotek;Paprotki;Paprotka;
Wroniaw;Wroniawy;Wroniawa;
Kiełpinka;Kiełpinek;Kiełpinka;
Ryszek;Ryszki;Ryszka;
Lnisk;Lniska;Lnisko;
Gawerkowa;Gawerków;Gawerkowa;
Popowa;Popów;Popowa;
Koszyc;Koszyce;Koszyca;
Miłowic;Miłowice;Miłowica;
Wiadrowa;Wiadrowo;Wiadrowa;
Homotów;Homoty;Homot;
Stępocina;Stępocin;Stępocina;
Dylewka;Dylewko;Dylewka;
Dionizowa;Dionizów;Dionizowa;
Łobodów;Łobody;Łobód;
Jarzyc;Jarzyce;Jarzyca;
Łososiowic;Łososiowice;Łososiowica;
Radkowa;Radków;Radkowa;
Średzińskich;Średzińskie;Średziński;
Łobody;Łoboda;Łobody;
Smaszewa;Smaszew;Smaszewo;
Pyszącej;Pysząca;Pysząca się;
Zagnańska;Zagnańsk;Zagnańska;
Wytoka;Wytok;Wytoka;
Zagrodów;Zagrody;Zagród;
Radomic;Radomice;Radomica;
Gaszowa;Gaszów;Gaszowa;
Kamiennnego;Kamienne;Kamiennny;
Kamiennnej;Kamienna;Kamiennna;
Samolubia;Samolubie;Samolubia;
Gąsek;Gąski;Gąska;
Kubic;Kubice;Kubica;
Kozła;Kozieł;Kozioł;
Zaklikowa;Zaklików;Zaklikowa;
Większyc;Większyce;Większyca;
Wtórka;Wtórek;Wtórka;
Chajdyc;Chajdyce;Chajdyca;
Jaryszowa;Jaryszów;Jaryszowa;
Kretowin;Kretowiny;Kretowina;
Skaj;Skaje;Skaj;
Czachówek;Czachówki;Czachówka;
Niekurzy;Niekurza;Niekurz;
Daszewic;Daszewice;Daszewica;
Piskajn;Piskajny;Piskajn;
Chocianowa;Chocianów;Chocianowa;
Rogózieźca;Rogóziec;Rogózieziec;
Wolbromowa;Wolbromów;Wolbromowa;
Perzyn;Perzyny;Perzyna;
Koteż;Koteże;Koteż;
Momajn;Momajny;Momajn;
Sarnówka;Sarnówek;Sarnówka;
Steblewa;Steblewo;Steblewa;
Rówiec;Rówce;Rówiec;
Tyrszelin;Tyrszeliny;Tyrszelina;
Nowolesia;Nowolesie;Nowoleś;
Jesionnny;Jesionna;Jesionnna;
Gostyczyny;Gostyczyna;Gostyczyn;
Czerwieńska;Czerwieńsk;Czerwieńska;
Niedar;Niedary;Niedar;
Pruchnika;Pruchnik;Pruchnika;
Bryńska;Bryńsk;Bryńska;
Jankowa;Janków;Jankowa;
Marków;Marki;Marek;
Daniłowa;Daniłowo;Daniłów;
Dobrzynia;Dobrzyń;Dobrzynia;
Dobrzykowa;Dobrzykowo;Dobrzykowa;
Antosina;Antosin;Antosina;
Rębiszowa;Rębiszów;Rębiszowa;
Niedarzyna;Niedarzyn;Niedarzyna;
Dorowa;Dorowo;Dorowa;
Chodlewa;Chodlewo;Chodlewa;
Galumina;Galumin;Galumina;
Rejowa;Rejów;Rejowa;
Kopanina;Kopanino;Kopanina;
Bębnowa;Bębnów;Bębnowa;
Kopaninin;Kopaniny;Kopaninina;
Gardna;Gardno;Gardna;
Tymina;Tymin;Tymina;
Robaw;Robawy;Robawa;
Moszyn;Moszyny;Moszyna;
Kolemczyczyc;Kolemczyce;Kolemczyczyca;
Głodzina;Głodzino;Głodzina;
Rębisk;Rębiska;Rębisko;
Lewic;Lewice;Lewica;
Przytoki;Przytoka;Przytok;
Bron;Brony;Bron;
Jarosławia;Jarosław;Jarosławie;
Sarny;Sarna;Sarn;
Kolczyna;Kolczyn;Kolczyna;
Kadłubi;Kadłubia;Kadłuby;
Sarn;Sarny;Sarn;
Godaszewic;Godaszewice;Godaszewica;
Duńkowic;Duńkowice;Duńkowica;
Zapiecznego;Zapieczne;Zapieczny;
Bolestraszyc;Bolestraszyce;Bolestraszyca;
Skowierzyna;Skowierzyn;Skowierzyna;
Podłużyc;Podłużyce;Podłużyca;
Gunic;Gunice;Gunica;
Chrośna;Chrośno;Chrośna;
Grochówka;Grochówek;Grochówka;
Kuściniec;Kuścińce;Kuściniec;
Chrośny;Chrośna;Chrośn;
Bolegorzyna;Bolegorzyn;Bolegorzyna;
