Dopełniacz;Mianownik;Wynik Stemmera
Dopełniacz;Mianownik;Dopełniacz;
Radzikowic;Radzikowice;Radzikowica;
Szczecina;Szczecin;Szczecina;
Góralic;Góralice;Góralica;
Gwizdowej;Gwizdowa;Gwizdowy;
Chobia;Chobie;Chobia;
Sierpowa;Sierpów;Sierpowy;
Bazylianówki;Bazylianówka;Bazylianówki;
Tysek;Tyski;Tyska;
Nadlesia;Nadlesie;Nadleś;
Mawr;Mawry;Mawra;
Cisowa;Cisów;Cisowy;
Gościszowa;Gościszów;Gościszowy;
Olesic;Olesice;Olesica;
Lamkówka;Lamkówko;Lamkówka;
Kolnicy;Kolnica;Kolnik;
Nietupy;Nietupa;Nietup;
Skalaków;Skalaki;Skalak;
Wyżnego;Wyżne;Wyżny;
Podchoin;Podchoiny;Podchoina;
Zapcenia;Zapceń;Zapcenie;
Borzęckiego;Borzęckie;Borzęcki;
Blekicia;Blekicie;Blekicia;
Podfigurza;Podfigurze;Podfigurzy;
Miąskowa;Miąskowo;Miąskowy;
Krelikiejm;Krelikiejmy;Krelikiejm;
Pawliszcza;Pawliszcze;Pawliszcza;
Pacółtówka;Pacółtówko;Pacółtówka;
Klonówka;Klonówek;Klonówka;
Warzyc;Warzyce;Warzyca;
Wangut;Wanguty;Wangut;
Kowerska;Kowersk;Kowerski;
Kurian;Kuriany;Kurianin;
Kopernicy;Kopernica;Kopernik;
Skarżyna;Skarżyn;Skarżyna;
Słodzony;Słodzona;Słodzony;
Gogolina;Gogolin;Gogolina;
Samsonek;Samsonki;Samsonka;
Bodzanówka;Bodzanówek;Bodzanówka;
Skoczkowa;Skoczkowo;Skoczkowy;
Janawina;Janawino;Janawina;
Świeligowa;Świeligów;Świeligowy;
Cieszków;Cieszkowy;Cieszek;
Żądłowic;Żądłowice;Żądłowica;
Bosiów;Bosie;Boś;
Bosi;Bosia;Bosy;
Jagot;Jagoty;Jagot;
Malwinowa;Malwinowo;Malwinowy;
Bazarów;Bazary;Bazar;
Creni;Crenie;Creń;
Kierzbunia;Kierzbuń;Kierzbunia;
Mirosławina;Mirosławin;Mirosławina;
Arcugowa;Arcugowo;Arcugowy;
Jaromierska;Jaromiersko;Jaromierski;
Klekotów;Klekoty;Klekot;
Wabcza;Wabcz;Wabczy;
Krasienina;Krasienin;Krasienina;
Czudowic;Czudowice;Czudowica;
Szymocicic;Szymocice;Szymocicica;
Szmytowa;Szmytowo;Szmytowy;
Murów;Mury;Mur;
Nogawek;Nogawki;Nogawka;
Bobowej;Bobowa;Bobowy;
Tyborowa;Tyborów;Tyborowy;
Bobowa;Bobowo;Bobowy;
Podorabia;Podorabie;Podorab;
Młynowych;Młynowe;Młynowy;
Fryckowskich;Fryckowskie;Fryckowski;
Kantyły;Kantyła;Kantyły;
Młynowa;Młynowo;Młynowy;
Kwilna;Kwilno;Kwilny;
Kościelnych;Kościelni;Kościelny;
Jurczaków;Jurczaki;Jurczak;
Kozowa;Kozowo;Kozowy;
Kościelnego;Kościelne;Kościelny;
Kościelnej;Kościelna;Kościelny;
Wilkanowa;Wilkanowo;Wilkanowy;
Kaliszanek;Kaliszanki;Kaliszanka;
Lubachów;Lubachowy;Lubach;
Przewoźnik;Przewoźniki;Przewoźnik;
Świątkowa;Świątkowo;Świątkowy;
Klotyldzina;Klotyldzin;Klotyldzina;
Dolanka;Dolanek;Dolanka;
Kulasów;Kulasy;Kulas;
Więcborka;Więcbork;Więcborek;
Jagielna;Jagielno;Jagielny;
Butorzy;Butorza;Butor;
Kikit;Kikity;Kikit;
Płackowa;Płackowo;Płackowy;
Lubat;Lubaty;Lubat;
Zakaniowa;Zakaniów;Zakaniowy;
Ławic;Ławice;Ławica;
Koskowa;Koskowo;Koskowy;
Czeczotków;Czeczotki;Czeczotek;
Biebrówka;Biebrówek;Biebrówka;
Zaprężyna;Zaprężyn;Zaprężyna;
Przytkowic;Przytkowice;Przytkowica;
Cedyni;Cedynia;Cedyny;
Jankielówki;Jankielówka;Jankielówki;
Hulskiego;Hulskie;Hulski;
Kleczewa;Kleczew;Kleczewo;
Wardzyna;Wardzyn;Wardzyna;
Zaścianek;Zaścianki;Zaścianek;
Piorunowa;Piorunowo;Piorunowy;
Moczynia;Moczyń;Moczynia;
Aksamitów;Aksamity;Aksamit;
Kierzczanego;Kierzczane;Kierzczany;
Szczyptów;Szczypty;Szczypt;
Podleszna;Podleszno;Podleszny;
Patrysiaków;Patrysiaki;Patrysiak;
Balusi;Balusie;Balusia;
Kęcików;Kęciki;Kęcik;
Stryczkowa;Stryczków;Stryczkowy;
Kałuszyna;Kałuszyn;Kałuszyna;
Gorodczyna;Gorodczyno;Gorodczyna;
Sieradzkiej;Sieradzka;Sieradzki;
Saburów;Sabury;Sabur;
Sudajewa;Sudajew;Sudajewa;
Miłuk;Miłuki;Miłuk;
Gackich;Gackie;Gacki;
Koziołkowej;Koziołkowa;Koziołkowy;
Lejkówka;Lejkówko;Lejkówka;
Gościradza;Gościradz;Gościradza;
Gościradów;Gościrady;Gościrad;
Krąpiewa;Krąpiewo;Krąpiewa;
Drobisów;Drobisy;Drobis;
Pindelowej;Pindelowa;Pindelowy;
Sowowy;Sowowa;Sowowy;
Witkowa;Witków;Witkowy;
Magdalana;Magdalan;Magdalany;
Mejznerzyna;Mejznerzyn;Mejznerzyna;
Chroślic;Chroślice;Chroślica;
Przybędowa;Przybędów;Przybędowy;
Rozbarka;Rozbark;Rozbarka;
Tąkieli;Tąkiele;Tąkiel;
Podkamiennnego;Podkamienny;Podkamiennny;
Mokradeł;Mokradła;Mokradło;
Marksówka;Marksówek;Marksówka;
Nosalewic;Nosalewice;Nosalewica;
Krobanówka;Krobanówek;Krobanówka;
Niegolewa;Niegolewo;Niegolewa;
Kotyzek;Kotyzki;Kotyzka;
Bieszkowic;Bieszkowice;Bieszkowica;
Kluczewska;Kluczewsko;Kluczewski;
Podkamiennnego;Podkamienne;Podkamiennny;
Kozinek;Kozinki;Kozinka;
Jankowiec;Jankowce;Jankowiec;
Gądna;Gądno;Gądny;
Rączków;Rączki;Rączek;
Niesadny;Niesadna;Niesadny;
Kapłanówki;Kapłanówka;Kapłanówki;
Zarzewa;Zarzew;Zarzewo;
Skalskiego;Skalskie;Skalski;
Baduni;Badunie;Badun;
Arciechowa;Arciechów;Arciechowy;
Broszkowic;Broszkowice;Broszkowica;
Śnieżek;Śnieżki;Śnieżek;
Talarowej;Talarowa;Talarowy;
Łazków;Łazki;Łazek;
Jarogniewia;Jarogniew;Jarogniewi;
Raszynka;Raszynek;Raszynka;
Kozieźla;Koziel;Kozieźle;
Kaput;Kaputy;Kaput;
Perelisk;Pereliska;Perelisko;
Koniecek;Koniecki;Koniecka;
Piskary;Piskara;Piskar;
Paprotek;Paprotki;Paprotka;
Kiełpinka;Kiełpinek;Kiełpinka;
Chociwla;Chociwle;Chociwla;
Ryszek;Ryszki;Ryszka;
Urogi;Uroga;Urogi;
Lnisk;Lniska;Lnisko;
Gawerkowa;Gawerków;Gawerkowy;
Wilchw;Wilchwy;Wilchwa;
Popowa;Popów;Popowy;
Pietruchowego;Pietruchowe;Pietruchowy;
Koszyc;Koszyce;Koszyca;
Wiadrowa;Wiadrowo;Wiadrowa;
Skubisów;Skubisy;Skubis;
Szarawary;Szarawara;Szarawary;
Tłoczka;Tłoczek;Tłoczka;
Bogaczy;Bogacze;Bogacz;
Homotów;Homoty;Homot;
Stępocina;Stępocin;Stępocina;
Dylewka;Dylewko;Dylewka;
Więzików;Więziki;Więzik;
Zięciuków;Zięciuki;Zięciuk;
Burdzy;Burdze;Burg;
Przybkowic;Przybkowice;Przybkowica;
Dionizowa;Dionizów;Dionizowy;
Łobodów;Łobody;Łobód;
Jarzyc;Jarzyce;Jarzyca;
Wądolna;Wądolno;Wądolny;
Łososiowic;Łososiowice;Łososiowica;
Świbna;Świbno;Świbny;
Radkowa;Radków;Radkowy;
Pianek;Pianki;Pianka;
Krampy;Krampa;Kramp;
Średzińskich;Średzińskie;Średziński;
Łobody;Łoboda;Łobody;
Smaszewa;Smaszew;Smaszewo;
Skupnego;Skupne;Skupny;
Pyszącej;Pysząca;Pyszący;
Nadbrzezia;Nadbrzezie;Nadbrzeź;
Zagnańska;Zagnańsk;Zagnański;
