Dopełniacz;Mianownik;Wynik Stemmera
Dopełniacz;Mianownik;Dopełniacz;
Radzikowic;Radzikowice;Radzikowica;
Szczecina;Szczecin;Szczecina;
Góralic;Góralice;Góralica;
Chobia;Chobie;Chobia;
Sierpowa;Sierpów;Sierpowa;
Bazylianówki;Bazylianówka;Bazylianówki;
Tysek;Tyski;Tyska;
Nadlesia;Nadlesie;Nadleś;
Mawr;Mawry;Mawra;
Cisowa;Cisów;Cisowa;
Gościszowa;Gościszów;Gościszowa;
Olesic;Olesice;Olesica;
Lamkówka;Lamkówko;Lamkówka;
Kolnicy;Kolnica;Kolnik;
Nietupy;Nietupa;Nietup;
Skalaków;Skalaki;Skalak;
Wyżnego;Wyżne;Wyżny;
Podchoin;Podchoiny;Podchoina;
Zapcenia;Zapceń;Zapcenie;
Borzęckiego;Borzęckie;Borzęcki;
Blekicia;Blekicie;Blekicia;
Podfigurza;Podfigurze;Podfigurza;
Miąskowa;Miąskowo;Miąskowa;
Krelikiejm;Krelikiejmy;Krelikiejm;
Pawliszcza;Pawliszcze;Pawliszcza;
Pacółtówka;Pacółtówko;Pacółtówka;
Klonówka;Klonówek;Klonówka;
Warzyc;Warzyce;Warzyca;
Wangut;Wanguty;Wangut;
Kowerska;Kowersk;Kowersko;
Kurian;Kuriany;Kurianin;
Kopernicy;Kopernica;Kopernik;
Skarżyna;Skarżyn;Skarżyna;
Słodzony;Słodzona;Słodzony;
Gogolina;Gogolin;Gogolina;
Samsonek;Samsonki;Samsonka;
Bodzanówka;Bodzanówek;Bodzanówka;
Skoczkowa;Skoczkowo;Skoczkowa;
Janawina;Janawino;Janawina;
Świeligowa;Świeligów;Świeligowa;
Dylewa;Dylew;Dylewa;
Cieszków;Cieszkowy;Cieszek;
Żądłowic;Żądłowice;Żądłowica;
Bosiów;Bosie;Boś;
Bosi;Bosia;Bos;
Jagot;Jagoty;Jagot;
Malwinowa;Malwinowo;Malwinowa;
Bazarów;Bazary;Bazar;
Creni;Crenie;Creń;
Kierzbunia;Kierzbuń;Kierzbunia;
Mirosławina;Mirosławin;Mirosławina;
Arcugowa;Arcugowo;Arcugowa;
Klekotów;Klekoty;Klekot;
Krasienina;Krasienin;Krasienina;
Czudowic;Czudowice;Czudowica;
Szymocicic;Szymocice;Szymocicica;
Szmytowa;Szmytowo;Szmytowa;
Murów;Mury;Mur;
Nogawek;Nogawki;Nogawka;
Tyborowa;Tyborów;Tyborowa;
Bobowa;Bobowo;Bobowa;
Podorabia;Podorabie;Podorab;
Młynowych;Młynowe;Młynowy;
Fryckowskich;Fryckowskie;Fryckowski;
Kantyły;Kantyła;Kantył;
Młynowa;Młynowo;Młynowa;
Kwilna;Kwilno;Kwilna;
Kościelnych;Kościelni;Kościelny;
Jurczaków;Jurczaki;Jurczak;
Kozowa;Kozowo;Kozowa;
Kościelnego;Kościelne;Kościelny;
Wilkanowa;Wilkanowo;Wilkanowa;
Kaliszanek;Kaliszanki;Kaliszanka;
Lubachów;Lubachowy;Lubach;
Przewoźnik;Przewoźniki;Przewoźnik;
Świątkowa;Świątkowo;Świątkowa;
Klotyldzina;Klotyldzin;Klotyldzina;
Dolanka;Dolanek;Dolanka;
Kulasów;Kulasy;Kulas;
Więcborka;Więcbork;Więcborek;
Jagielna;Jagielno;Jagielna;
Butorzy;Butorza;Butor;
Kikit;Kikity;Kikit;
Płackowa;Płackowo;Płackowa;
Lubat;Lubaty;Lubat;
Zakaniowa;Zakaniów;Zakaniowa;
Ławic;Ławice;Ławica;
Koskowa;Koskowo;Koskowa;
Czeczotków;Czeczotki;Czeczotek;
Biebrówka;Biebrówek;Biebrówka;
Zaprężyna;Zaprężyn;Zaprężyna;
Przytkowic;Przytkowice;Przytkowica;
Cedyni;Cedynia;Cedyn;
Jankielówki;Jankielówka;Jankielówki;
Hulskiego;Hulskie;Hulski;
Kleczewa;Kleczew;Kleczewo;
Wardzyna;Wardzyn;Wardzyna;
Zaścianek;Zaścianki;Zaścianek;
Piorunowa;Piorunowo;Piorunowa;
Moczynia;Moczyń;Moczynia;
Aksamitów;Aksamity;Aksamit;
Kierzczanego;Kierzczane;Kierzczany;
Szczyptów;Szczypty;Szczypt;
Podleszna;Podleszno;Podleszna;
Patrysiaków;Patrysiaki;Patrysiak;
Balusi;Balusie;Balusia;
Kęcików;Kęciki;Kęcik;
Stryczkowa;Stryczków;Stryczkowa;
Kałuszyna;Kałuszyn;Kałuszyna;
Gorodczyna;Gorodczyno;Gorodczyna;
Saburów;Sabury;Sabur;
Sudajewa;Sudajew;Sudajewa;
Miłuk;Miłuki;Miłuk;
Gackich;Gackie;Gacka;
Lejkówka;Lejkówko;Lejkówka;
Gościradza;Gościradz;Gościradza;
Gościradów;Gościrady;Gościrad;
Krąpiewa;Krąpiewo;Krąpiewa;
Drobisów;Drobisy;Drobis;
Sowowy;Sowowa;Sowowy;
Witkowa;Witków;Witkowa;
Magdalana;Magdalan;Magdalana;
Mejznerzyna;Mejznerzyn;Mejznerzyna;
Chroślic;Chroślice;Chroślica;
Przybędowa;Przybędów;Przybędowa;
Rozbarka;Rozbark;Rozbarka;
Tąkieli;Tąkiele;Tąkiel;
Podkamiennnego;Podkamienny;Podkamiennny;
Mokradeł;Mokradła;Mokradło;
Marksówka;Marksówek;Marksówka;
Nosalewic;Nosalewice;Nosalewica;
Krobanówka;Krobanówek;Krobanówka;
Niegolewa;Niegolewo;Niegolewa;
Kotyzek;Kotyzki;Kotyzka;
Bieszkowic;Bieszkowice;Bieszkowica;
Podkamiennnego;Podkamienne;Podkamiennny;
Kozinek;Kozinki;Kozinka;
Jankowiec;Jankowce;Jankowiec;
Gądna;Gądno;Gądna;
Rączków;Rączki;Rączek;
Niesadny;Niesadna;Niesadny;
Kapłanówki;Kapłanówka;Kapłanówki;
Zarzewa;Zarzew;Zarzewo;
Skalskiego;Skalskie;Skalski;
Baduni;Badunie;Badun;
Broszkowic;Broszkowice;Broszkowica;
Śnieżek;Śnieżki;Śnieżek;
Łazków;Łazki;Łazek;
Jarogniewia;Jarogniew;Jarogniewie;
Raszynka;Raszynek;Raszynka;
Kozieźla;Koziel;Kozieźle;
Kaput;Kaputy;Kaput;
Perelisk;Pereliska;Perelisko;
Koniecek;Koniecki;Koniecka;
Piskary;Piskara;Piskar;
Paprotek;Paprotki;Paprotka;
Kiełpinka;Kiełpinek;Kiełpinka;
Chociwla;Chociwle;Chociwla;
Ryszek;Ryszki;Ryszka;
Urogi;Uroga;Uróg;
Lnisk;Lniska;Lnisko;
Gawerkowa;Gawerków;Gawerkowa;
Wilchw;Wilchwy;Wilchwa;
Popowa;Popów;Popowa;
Pietruchowego;Pietruchowe;Pietruchowy;
Koszyc;Koszyce;Koszyca;
Wiadrowa;Wiadrowo;Wiadrowa;
Skubisów;Skubisy;Skubis;
Szarawary;Szarawara;Szarawary;
Tłoczka;Tłoczek;Tłoczka;
Bogaczy;Bogacze;Bogacz;
Homotów;Homoty;Homot;
Stępocina;Stępocin;Stępocina;
Dylewka;Dylewko;Dylewka;
Więzików;Więziki;Więzik;
Zięciuków;Zięciuki;Zięciuk;
Burdzy;Burdze;Burg;
Przybkowic;Przybkowice;Przybkowica;
Dionizowa;Dionizów;Dionizowa;
Łobodów;Łobody;Łobód;
Jarzyc;Jarzyce;Jarzyca;
Wądolna;Wądolno;Wądolna;
Łososiowic;Łososiowice;Łososiowica;
Świbna;Świbno;Świbna;
Radkowa;Radków;Radkowa;
Pianek;Pianki;Pianka;
Krampy;Krampa;Kramp;
Średzińskich;Średzińskie;Średziński;
Łobody;Łoboda;Łobody;
Smaszewa;Smaszew;Smaszewo;
Skupnego;Skupne;Skupny;
Pyszącej;Pysząca;Pysząca się;
Nadbrzezia;Nadbrzezie;Nadbrzeź;
Zagnańska;Zagnańsk;Zagnańska;
Wytoka;Wytok;Wytoka;
Kamiennnego;Kamienny;Kamiennny;
Szwedów;Szwedzi;Szwed;
Zagród;Zagrody;Zagroda;
Radomic;Radomice;Radomica;
Gaszowa;Gaszów;Gaszowa;
Kamiennnej;Kamienna;Kamiennna;
Poważego;Poważe;Poważy;
Gąsek;Gąski;Gąska;
Kubiców;Kubice;Kubic;
Kozła;Kozieł;Kozioł;
Zaklikowa;Zaklików;Zaklikowa;
