Dopełniacz;Mianownik;Wynik Stemmera
wic;;wica
Radzikowic;Radzikowice;Radzikowica
Szczecina;Szczecin;Szczecina
Krzczonowa Drugiego;Krzczonów Drugi;Krzczonowa Drugi
Łukoszyna-Bików;Łukoszyno-Biki;Łukoszyna-Bik
Chobia;Chobie;Chobia
Sierpowa;Sierpów;Sierpowa
Mawr;Mawry;Mawra
Cisowa;Cisów;Cisowa
Gościszowa;Gościszów;Gościszowa
Łebków Dużych;Łebki Duże;Łebek Duży
Olesic;Olesice;Olesica
Lamkówka;Lamkówko;Lamkówka
Kolnicy;Kolnica;Kolnik
Nietupy;Nietupa;Nietup
Wyżnego;Wyżne;Wyżny
Niedziałowic Pierwszych;Niedziałowice Pierwsze;Niedziałowica Pierwsza
Starego Grzybowa;Stary Grzybów;Stary Grzybowa
Zapcenia;Zapceń;Zapcenie
Borzęckiego;Borzęckie;Borzęcki
Miąskowa;Miąskowo;Miąskowa
Krelikiejm;Krelikiejmy;Krelikiejm
Białynina-Latkowa;Białynin-Latków;Białynina-Latkowa
Staniszcz Małych;Staniszcze Małe;Staniszcza Mała
Klonówka;Klonówek;Klonówka
Warzyc;Warzyce;Warzyca
Wangut;Wanguty;Wangut
Dmochów-Mrozów;Dmochy-Mrozy;Dmoch-Mróz
Kowerska;Kowersk;Kowersko
Kurian;Kuriany;Kurianin
Kopernicy;Kopernica;Kopernik
Skarżyna;Skarżyn;Skarżyna
Gogolina;Gogolin;Gogolina
Bodzanówka;Bodzanówek;Bodzanówka
Białebłegobłota WieStarej;Białebłoto-Stara Wieś;Białebłegobłota WieStara
Skoczkowa;Skoczkowo;Skoczkowa
Świeligowa;Świeligów;Świeligowa
Rostek Bajtkowskich;Rostki Bajtkowskie;Rostka Bajtkowski
Możdżanowa;Możdżanów;Możdżanowa
Cieszków;Cieszkowy;Cieszek
Nowej Wsi Zbąskiej;Nowa Wieś Zbąska;Nowa Ws Zbąska
Zaliwia-Piegawek;Zaliwie-Piegawki;Zaliwie-Piegawka
Jagot;Jagoty;Jagot
Malwinowa;Malwinowo;Malwinowa
Paczusek Dużych;Paczuski Duże;Paczuska Duży
Arcugowa;Arcugowo;Arcugowa
Jabłonia;Jabłoń;Jabłonie
Nowej Wsi Przywidzkiej;Nowa Wieś Przywidzka;Nowa Ws Przywidzka
Krasienina;Krasienin;Krasienina
Czudowic;Czudowice;Czudowica
Gorzenia Górnego;Gorzeń Górny;Gorzenie Górny
Nogawek;Nogawki;Nogawka
Tyborowa;Tyborów;Tyborowa
Bobowa;Bobowo;Bobowa
Glinika Charzewskiego;Glinik Charzewski;Glinika Charzewski
Gawiniec;Gawiniańce;Gawiniec
Młynowa;Młynowo;Młynowa
Kwilna;Kwilno;Kwilna
Kozowa;Kozowo;Kozowa
Brusowa;Brusów;Brusowa
Wilkanowa;Wilkanowo;Wilkanowa
Lubachów;Lubachowy;Lubach
Przewoźnik;Przewoźniki;Przewoźnik
Jakaci Młodej;Jakać Młoda;Jakat Młoda
Świątkowa;Świątkowo;Świątkowa
