Dopełniacz;Mianownik;Wynik Stemmera
wic;;wica
Radzikowic;Radzikowice;Radzikowica
Szczecina;Szczecin;Szczecina
Krzczonowa Drugiego;Krzczonów Drugi;Krzczonowy Drugi
Łukoszyna-Bików;Łukoszyno-Biki;Łukoszyna-Bik
Chobia;Chobie;Chobia
Sierpowa;Sierpów;Sierpowy
Mawr;Mawry;Mawra
Cisowa;Cisów;Cisowy
Gościszowa;Gościszów;Gościszowy
Łebków Dużych;Łebki Duże;Łebek Duży
Kolonii Niecik;Kolonia Nieciki;Kolonia Niecik
Olesic;Olesice;Olesica
Lamkówka;Lamkówko;Lamkówka
Kolnicy;Kolnica;Kolnik
Nietupy;Nietupa;Nietup
Wólki Leśnej;Wólka Leśna;Wólka Leśny
Wyżnego;Wyżne;Wyżny
Niedziałowic Pierwszych;Niedziałowice Pierwsze;Niedziałowica Pierwszy
Machnowa Starego;Machnów Stary;Machnowy Stary
Starego Grzybowa;Stary Grzybów;Stary Grzybowa
Zapcenia;Zapceń;Zapcenie
Borzęckiego;Borzęckie;Borzęcki
Miąskowa;Miąskowo;Miąskowy
Krelikiejm;Krelikiejmy;Krelikiejm
Białynina-Latkowa;Białynin-Latków;Białynina-Latkowy
Pacółtówka;Pacółtówko;Pacółtówka
Staniszcz Małych;Staniszcze Małe;Staniszcza Mały
Klonówka;Klonówek;Klonówka
Warzyc;Warzyce;Warzyca
Wangut;Wanguty;Wangut
Dmochów-Mrozów;Dmochy-Mrozy;Dmoch-Mróz
Kowerska;Kowersk;Kowerski
Kurian;Kuriany;Kurianin
Kopernicy;Kopernica;Kopernik
Skarżyna;Skarżyn;Skarżyna
Gogolina;Gogolin;Gogolina
Bodzanówka;Bodzanówek;Bodzanówka
Białebłegobłota WieStarej;Białebłoto-Stara Wieś;Białebłegobłota WieStara
Skoczkowa;Skoczkowo;Skoczkowy
Świeligowa;Świeligów;Świeligowy
Rostek Bajtkowskich;Rostki Bajtkowskie;Rostka Bajtkowski
Możdżanowa;Możdżanów;Możdżanowy
Cieszków;Cieszkowy;Cieszek
Nowej Wsi Zbąskiej;Nowa Wieś Zbąska;Nowy Wszy Zbąski
Zaliwia-Piegawek;Zaliwie-Piegawki;Zaliwie-Piegawka
Jagot;Jagoty;Jagot
Malwinowa;Malwinowo;Malwinowy
Paczusek Dużych;Paczuski Duże;Paczuska Duży
Wysokiej Dąbrowy;Wysoka Dąbrowa;Wysoki Dąbrowa
Kierzbunia;Kierzbuń;Kierzbunia
Mirosławina;Mirosławin;Mirosławina
Arcugowa;Arcugowo;Arcugowy
Jabłonia;Jabłoń;Jabłonie
Nowej Wsi Przywidzkiej;Nowa Wieś Przywidzka;Nowy Wszy Przywidzki
Wabcza;Wabcz;Wabczy
Krasienina;Krasienin;Krasienina
Czudowic;Czudowice;Czudowica
Gorzenia Górnego;Gorzeń Górny;Gorzenie Górny
Nogawek;Nogawki;Nogawka
Bobowej;Bobowa;Bobowy
Tyborowa;Tyborów;Tyborowy
Bobowa;Bobowo;Bobowy
