Dopełniacz;Mianownik;Wynik Stemmera
Mariackiego;Mariackie;Mariacki
Szczecina;Szczecin;Szczecina
Krzczonowa Drugiego;Krzczonów Drugi;Krzczonowy Drugi
Góralic;Góralice;Góralica
Gwizdowej;Gwizdowa;Gwizdowy
Chobia;Chobie;Chobia
Radzikowic;Radzikowice;Radzikowica
Sierpowa;Sierpów;Sierpowy
Wronowa-Kolonii;Wronów-Kolonia;Wronowy-Kolonia
Gór pod Lasem;Góry pod Lasem;Gór poda Las
Bazylianówki;Bazylianówka;Bazylianówki
Koło Kościoła;Koło Kościoła;Koła Kościół
Tysek;Tyski;Tyska
Nadlesia;Nadlesie;Nadleś
Mawr;Mawry;Mawra
Cisowa;Cisów;Cisowy
Gościszowa;Gościszów;Gościszowy
Grąbkowa PierwszKolonii;Grąbkowo-Kolonia Pierwsza;Grąbkowa PierwszKolonia
Ściborowa;Ściborowo;Ściborowy
Łebków Dużych;Łebki Duże;Łebek Duży
Kolonii Zastowa;Kolonia Zastów;Kolonia Zastowy
Kolonii Niecik;Kolonia Nieciki;Kolonia Niecik
Olesic;Olesice;Olesica
Pod Świrtą;Pod Świrtą;Poda Świrty
Lamkówka;Lamkówko;Lamkówka
Kolnicy;Kolnica;Kolnik
Nietupy;Nietupa;Nietup
Kolonii Ślądkowic;Kolonia Ślądkowice;Kolonia Ślądkowica
Wólki Leśnej;Wólka Leśna;Wólka Leśny
Pokrzydowa-Wybudowania;Pokrzydowo-Wybudowanie;Pokrzydowy-Wybudowanie
Skalaków;Skalaki;Skalak
Wyżnego;Wyżne;Wyżny
Niedziałowic Pierwszych;Niedziałowice Pierwsze;Niedziałowica Pierwszy
Machnowa Starego;Machnów Stary;Machnowy Stary
Podchoin;Podchoiny;Podchoina
Pruchnika Górnego;Pruchnik Górny;Pruchnika Górny
Starego Grzybowa;Stary Grzybów;Stary Grzybowa
Zapcenia;Zapceń;Zapcenie
Borzęckiego;Borzęckie;Borzęcki
Blekicia;Blekicie;Blekicia
Podfigurza;Podfigurze;Podfigurzać
Miąskowa;Miąskowo;Miąskowy
Krelikiejm;Krelikiejmy;Krelikiejm
Białynina-Latkowa;Białynin-Latków;Białynina-Latkowy
Brodzkich Młynów;Brodzkie Młyny;Brodzki Młyn
Pacółtówka;Pacółtówko;Pacółtówka
Staniszcz Małych;Staniszcze Małe;Staniszczyć Mały
Hub Rzadkwińskich;Huby Rzadkwińskie;Hubić Rzadkwiński
Radunia-Osiedla;Raduń-Osiedle;Radunio-Osiedlać
Klonówka;Klonówek;Klonówka
Warzyc;Warzyce;Warzyca
Łukoszyna-Bików;Łukoszyno-Biki;Łukoszyna-Bik
Wangut;Wanguty;Wangut
Osiedla Grajwo;Osiedle Grajwo;Osiedlać Grajwo
Dmochów-Mrozów;Dmochy-Mrozy;Dmoch-Mróz
Zdziaru-Łopatek;Zdziar-Łopatki;Zdziar-Łopatka
Kubinieńca;Kubiniec;Kubinieniec
Szerokiej Drogi;Szeroka Droga;Szeroki Drogi
Wyżnej Paproci;Wyżna Paproć;Wyżny Paproć
Kowerska;Kowersk;Kowerski
Darszyc-Darzyna;Darszyce-Darzyn;Darszyca-Darzynać
Porośli-Grzyw;Porośl-Grzywy;Porośl-Grzywić
Kurian;Kuriany;Kurianin
Kopernicy;Kopernica;Kopernik
Skarżyna;Skarżyn;Skarżyna
Słodzony;Słodzona;Słodzić
Karwit;Karwity;Karwit
Gogolina;Gogolin;Gogolina
Samsonek;Samsonki;Samsonka
Bodzanówka;Bodzanówek;Bodzanówka
Białebłegobłota WieStarej;Białebłoto-Stara Wieś;Białebłegobłota WieStara
Skoczkowa;Skoczkowo;Skoczkowy
Janawina;Janawino;Janawina
Urbaniaków;Urbaniaki;Urbaniak
Świeligowa;Świeligów;Świeligowy
Rostek Bajtkowskich;Rostki Bajtkowskie;Rostka Bajtkowski
Możdżanowa;Możdżanów;Możdżanowy
Sokolenieńca;Sokoleniec;Sokolenieniec
Cieszków;Cieszkowy;Cieszek
Nowej Wsi Zbąskiej;Nowa Wieś Zbąska;Nowy Wszy Zbąski
Zaliwia-Piegawek;Zaliwie-Piegawki;Zaliwiać-Piegawka
Bosiów;Bosie;Boś
Bosi;Bosia;Bosić
Jagot;Jagoty;Jagot
Malwinowa;Malwinowo;Malwinowy
Bazarów;Bazary;Bazar
Creni;Crenie;Creń
Paczusek Dużych;Paczuski Duże;Paczuska Duży
Kolonii Dąbrówki;Kolonia Dąbrówka-Stany;Kolonii Dąbrówka
Wysokiej Dąbrowy;Wysoka Dąbrowa;Wysoki Dąbrowa
Woli Błażowskiej;Wola Błażowska;Wol Błażowski
Kierzbunia;Kierzbuń;Kierzbunia
Mirosławina;Mirosławin;Mirosławina
Niskich Gór;Niskie Góry;Niski Gór
Arcugowa;Arcugowo;Arcugowy
Wylan-Kolonii;Wylany-Kolonia;Wylan-Kolonia
Jabłonia;Jabłoń;Jabłonie
Pod Bramkę;Pod Bramkę;Poda Bramka
Jaromierska;Jaromiersko;Jaromierski
Klekotów;Klekoty;Klekot
Paluszków;Paluszki;Paluszek
Nowej Wsi Przywidzkiej;Nowa Wieś Przywidzka;Nowy Wszy Przywidzki
Skociszew;Skociszewy;Skociszwa
Wabcza;Wabcz;Wabczy
Baborówka;Baborówko;Baborówka
Głupic-Parceli;Głupice-Parcela;Głupic-Parcela
Czudowic;Czudowice;Czudowica
Szymocicic;Szymocice;Szymocicica
Szmytowa;Szmytowo;Szmytowy
Murów;Mury;Mur
Gorzenia Górnego;Gorzeń Górny;Gorzenie Górny
Nogawek;Nogawki;Nogawka
Bobowej;Bobowa;Bobowy
Tyborowa;Tyborów;Tyborowy
Bobowa;Bobowo;Bobowy
Glinika Charzewskiego;Glinik Charzewski;Glinika Charzewski
Młynowych;Młynowe;Młynowy
Kolonii Szpondowa;Kolonia Szpondowo;Kolonia Szpondowy
Fryckowskich;Fryckowskie;Fryckowski
Na Zahorodziu;Na Zahorodziu;Ny Zahorodzie
Gościejowic Małych;Gościejowice Małe;Gościejowica Mały
Kolonii Konradowa;Kolonia Konradów;Kolonia Konradowy
Kantyły;Kantyła;Kantyły
Do Żabińca;Do Żabińca;Dy Żabiniec
Młynowa;Młynowo;Młynowy
Trząski-Zawodzia;Trząska-Zawodzie;Trząski-Zawodzie
Kwilna;Kwilno;Kwilny
Kościelnych;Kościelni;Kościelny
Jurczaków;Jurczaki;Jurczak
U Czarnego;U Czarnego;U Czarny
Kozowa;Kozowo;Kozowy
Kościelnego;Kościelne;Kościelny
Kościelnej;Kościelna;Kościelny
Stanka;Stank;Stanka
Bagiczy;Bagicz;Bagiczy
Zimnej;Zimna;Zimny
Kaliszanek;Kaliszanki;Kaliszanka
Lubachów;Lubachowy;Lubach
Przewoźnik;Przewoźniki;Przewoźnik
Jakaci Młodej;Jakać Młoda;Jakaty Młody
Świątkowa;Świątkowo;Świątkowy
Huty Głodowskiej;Huta Głodowska;Huć Głodowski
Klotyldzina;Klotyldzin;Klotyldzina
Dolanka;Dolanek;Dolanka
Nowego Tuchomia;Nowy Tuchom;Nowy Tuchomiać
Bożegopola Królewskiego;Bożepole Królewskie;Bożegopola Królewski
Kamianek-Nicek;Kamianki-Nicki;Kamianka-Nicka
Pieńków Szczepockich;Pieńki Szczepockie;Pieniek Szczepocki
Kulasów;Kulasy;Kulas
Koniewa-Osady;Koniewo-Osada;Koniewać-Osada
Jagielna;Jagielno;Jagielny
Butorzy;Butorza;Butor
Kikit;Kikity;Kikit
Surmówki Wyżnej;Surmówka Wyżna;Surmówka Wyżny
Lubat;Lubaty;Lubat
Zakaniowa;Zakaniów;Zakaniowy
Leokadiowa Górnego;Leokadiów Górny;Leokadiowy Górny
Starego Walercina;Stary Walercin;Stary Walercinać
Kolonii Wygnanowa;Kolonia Wygnanów;Kolonia Wygnanowy
Ławic;Ławice;Ławica
Koskowa;Koskowo;Koskowy
Czeczotków;Czeczotki;Czeczotek
W Kopcu;W Kopcu;W Kopiec
Biebrówka;Biebrówek;Biebrówka
Księżego Pola;Księże Pole;Księży Pola
Zaprężyna;Zaprężyn;Zaprężyna
Koskowej;Koskowa;Koskowy
Przytkowic;Przytkowice;Przytkowica
Cedyni;Cedynia;Cedyny
Kolonii Dańców;Kolonia Dańce;Kolonia Daniec
Hulskiego;Hulskie;Hulski
Bidzin-Folwarku;Bidziny-Folwark;Bidzina-Folwark
Kleczewa;Kleczew;Kleczewać
Wardzyna;Wardzyn;Wardzyna
Zaścianek;Zaścianki;Zaścianek
Kask-Budek;Kaski-Budki;Kask-Budek
Piorunowa;Piorunowo;Piorunowy
Moczynia;Moczyń;Moczyniać
Aksamitów;Aksamity;Aksamit
Żyrzyna Małego;Żyrzyn Mały;Żyrzynać Mały
Kierzczanego;Kierzczane;Kierzczany
Zalesia-Kolonii;Zalesie-Kolonia;Zalesiać-Kolonia
Szczyptów;Szczypty;Szczypt
