Dopełniacz;Mianownik;Wynik Stemmera
Mariackiego;Mariackie;Mariacki
Szczecina;Szczecin;Szczecina
Krzczonowa Drugiego;Krzczonów Drugi;Krzczonowa Drugi
Góralic;Góralice;Góralica
Chobia;Chobie;Chobia
Radzikowic;Radzikowice;Radzikowica
Sierpowa;Sierpów;Sierpowa
Wronowa-Kolonii;Wronów-Kolonia;Wronowa-Kolonia
Gór pod Lasem;Góry pod Lasem;Gór poda Las
Bazylianówki;Bazylianówka;Bazylianówki
Koło Kościoła;Koło Kościoła;Koła Kościół
Tysek;Tyski;Tyska
Nadlesia;Nadlesie;Nadleś
Mawr;Mawry;Mawra
Cisowa;Cisów;Cisowa
Gościszowa;Gościszów;Gościszowa
Grąbkowa PierwszKolonii;Grąbkowo-Kolonia Pierwsza;Grąbkowa PierwszKolonia
Ściborowa;Ściborowo;Ściborowa
Łebków Dużych;Łebki Duże;Łebek Duży
Kolonii Zastowa;Kolonia Zastów;Kolonia Zastowa
Kolonii Niecik;Kolonia Nieciki;Kolonia Niecik
Olesic;Olesice;Olesica
Pod Świrtą;Pod Świrtą;Poda Świrta
Lamkówka;Lamkówko;Lamkówka
Kolnicy;Kolnica;Kolnik
Nietupy;Nietupa;Nietup
Kolonii Ślądkowic;Kolonia Ślądkowice;Kolonia Ślądkowica
Pokrzydowa-Wybudowania;Pokrzydowo-Wybudowanie;Pokrzydowa-Wybudowanie
Skalaków;Skalaki;Skalak
Wyżnego;Wyżne;Wyżny
Niedziałowic Pierwszych;Niedziałowice Pierwsze;Niedziałowica Pierwsza
Machnowa Starego;Machnów Stary;Machnowa Stary
Podchoin;Podchoiny;Podchoina
Pruchnika Górnego;Pruchnik Górny;Pruchnika Górny
Starego Grzybowa;Stary Grzybów;Stary Grzybowa
Zapcenia;Zapceń;Zapcenie
Borzęckiego;Borzęckie;Borzęcki
Blekicia;Blekicie;Blekicia
Podfigurza;Podfigurze;Podfigurza
Miąskowa;Miąskowo;Miąskowa
Krelikiejm;Krelikiejmy;Krelikiejm
Białynina-Latkowa;Białynin-Latków;Białynina-Latkowa
Brodzkich Młynów;Brodzkie Młyny;Brodzki Młyn
Pacółtówka;Pacółtówko;Pacółtówka
Staniszcz Małych;Staniszcze Małe;Staniszcza Mała
Hub Rzadkwińskich;Huby Rzadkwińskie;Hub Rzadkwiński
Radunia-Osiedla;Raduń-Osiedle;Radunio-Osiedle
Klonówka;Klonówek;Klonówka
Warzyc;Warzyce;Warzyca
Łukoszyna-Bików;Łukoszyno-Biki;Łukoszyna-Bik
Wangut;Wanguty;Wangut
Dmochów-Mrozów;Dmochy-Mrozy;Dmoch-Mróz
Zdziaru-Łopatek;Zdziar-Łopatki;Zdziar-Łopatka
Kubinieńca;Kubiniec;Kubinieniec
Szerokiej Drogi;Szeroka Droga;Szeroka Dróg
Kowerska;Kowersk;Kowersko
Darszyc-Darzyna;Darszyce-Darzyn;Darszyca-Darzyna
Porośli-Grzyw;Porośl-Grzywy;Porośl-Grzywo
Kurian;Kuriany;Kurianin
Kopernicy;Kopernica;Kopernik
Skarżyna;Skarżyn;Skarżyna
Słodzony;Słodzona;Słodzony
Karwit;Karwity;Karwit
Gogolina;Gogolin;Gogolina
Samsonek;Samsonki;Samsonka
Bodzanówka;Bodzanówek;Bodzanówka
Białebłegobłota WieStarej;Białebłoto-Stara Wieś;Białebłegobłota WieStara
Skoczkowa;Skoczkowo;Skoczkowa
Janawina;Janawino;Janawina
Urbaniaków;Urbaniaki;Urbaniak
Świeligowa;Świeligów;Świeligowa
Rostek Bajtkowskich;Rostki Bajtkowskie;Rostka Bajtkowski
Możdżanowa;Możdżanów;Możdżanowa
Sokolenieńca;Sokoleniec;Sokolenieniec
Cieszków;Cieszkowy;Cieszek
Nowej Wsi Zbąskiej;Nowa Wieś Zbąska;Nowa Ws Zbąska
Zaliwia-Piegawek;Zaliwie-Piegawki;Zaliwie-Piegawka
Bosiów;Bosie;Boś
Bosi;Bosia;Bos
Jagot;Jagoty;Jagot
Malwinowa;Malwinowo;Malwinowa
Bazarów;Bazary;Bazar
Creni;Crenie;Creń
Paczusek Dużych;Paczuski Duże;Paczuska Duży
Kolonii Dąbrówki;Kolonia Dąbrówka-Stany;Kolonii Dąbrówka
Woli Błażowskiej;Wola Błażowska;Wol Błażowska
Kierzbunia;Kierzbuń;Kierzbunia
Mirosławina;Mirosławin;Mirosławina
Niskich Gór;Niskie Góry;Niski Gór
Arcugowa;Arcugowo;Arcugowa
Wylan-Kolonii;Wylany-Kolonia;Wylan-Kolonia
Jabłonia;Jabłoń;Jabłonie
Pod Bramkę;Pod Bramkę;Poda Bramka
Klekotów;Klekoty;Klekot
Paluszków;Paluszki;Paluszek
Nowej Wsi Przywidzkiej;Nowa Wieś Przywidzka;Nowa Ws Przywidzka
Skociszew;Skociszewy;Skociszwa
Baborówka;Baborówko;Baborówka
Głupic-Parceli;Głupice-Parcela;Głupic-Parcela
Czudowic;Czudowice;Czudowica
Szymocicic;Szymocice;Szymocicica
Szmytowa;Szmytowo;Szmytowa
Murów;Mury;Mur
Gorzenia Górnego;Gorzeń Górny;Gorzenie Górny
Nogawek;Nogawki;Nogawka
Tyborowa;Tyborów;Tyborowa
Bobowa;Bobowo;Bobowa
Glinika Charzewskiego;Glinik Charzewski;Glinika Charzewski
Młynowych;Młynowe;Młynowy
Kolonii Szpondowa;Kolonia Szpondowo;Kolonia Szpondowa
Fryckowskich;Fryckowskie;Fryckowski
Na Zahorodziu;Na Zahorodziu;Ne Zahorodzie
Gościejowic Małych;Gościejowice Małe;Gościejowica Mała
Kolonii Konradowa;Kolonia Konradów;Kolonia Konradowa
Kantyły;Kantyła;Kantył
Do Żabińca;Do Żabińca;Da Żabiniec
Młynowa;Młynowo;Młynowa
Kwilna;Kwilno;Kwilna
Kościelnych;Kościelni;Kościelny
Jurczaków;Jurczaki;Jurczak
U Czarnego;U Czarnego;U Czarny
Kozowa;Kozowo;Kozowa
Kościelnego;Kościelne;Kościelny
Stanka;Stank;Stanka
Bagiczy;Bagicz;Bagiczy
Kaliszanek;Kaliszanki;Kaliszanka
Lubachów;Lubachowy;Lubach
Przewoźnik;Przewoźniki;Przewoźnik
Jakaci Młodej;Jakać Młoda;Jakat Młoda
Świątkowa;Świątkowo;Świątkowa
Huty Głodowskiej;Huta Głodowska;Hut Głodowska
Klotyldzina;Klotyldzin;Klotyldzina
Dolanka;Dolanek;Dolanka
Nowego Tuchomia;Nowy Tuchom;Nowy Tuchomia
Bożegopola Królewskiego;Bożepole Królewskie;Bożegopola Królewski
Kamianek-Nicek;Kamianki-Nicki;Kamianka-Nicka
Pieńków Szczepockich;Pieńki Szczepockie;Pieniek Szczepocki
Kulasów;Kulasy;Kulas
Koniewa-Osady;Koniewo-Osada;Koniewa-Osada
Jagielna;Jagielno;Jagielna
Butorzy;Butorza;Butor
Kikit;Kikity;Kikit
Lubat;Lubaty;Lubat
Zakaniowa;Zakaniów;Zakaniowa
Leokadiowa Górnego;Leokadiów Górny;Leokadiowa Górny
Starego Walercina;Stary Walercin;Stary Walercina
Kolonii Wygnanowa;Kolonia Wygnanów;Kolonia Wygnanowa
Ławic;Ławice;Ławica
Koskowa;Koskowo;Koskowa
Czeczotków;Czeczotki;Czeczotek
W Kopcu;W Kopcu;W Kopiec
Biebrówka;Biebrówek;Biebrówka
Księżego Pola;Księże Pole;Księży Pola
Zaprężyna;Zaprężyn;Zaprężyna
Przytkowic;Przytkowice;Przytkowica
Cedyni;Cedynia;Cedyn
Kolonii Dańców;Kolonia Dańce;Kolonia Daniec
Hulskiego;Hulskie;Hulski
Bidzin-Folwarku;Bidziny-Folwark;Bidzina-Folwark
Kleczewa;Kleczew;Kleczewo
Wardzyna;Wardzyn;Wardzyna
Zaścianek;Zaścianki;Zaścianek
Kask-Budek;Kaski-Budki;Kask-Budek
Piorunowa;Piorunowo;Piorunowa
Moczynia;Moczyń;Moczynia
Aksamitów;Aksamity;Aksamit
Żyrzyna Małego;Żyrzyn Mały;Żyrzyna Mały
Kierzczanego;Kierzczane;Kierzczany
Zalesia-Kolonii;Zalesie-Kolonia;Zaleś-Kolonia
Szczyptów;Szczypty;Szczypt
Swarzędza-Południa;Swarzędz-Południe;Swarzędza-Południe
Ignatek-Kolonii;Ignatki-Kolonia;Ignatka-Kolonia
Podleszna;Podleszno;Podleszna
Wolicy Drugiej;Wolica Druga;Wolik Druga
Jeleniego Boru;Jeleni Bór;Jeleni Bor
Patrysiaków;Patrysiaki;Patrysiak
Gajówki Jasienieńca;Gajówka Jasieniec;Gajówka Jasienieniec
Kęcików;Kęciki;Kęcik
Stryczkowa;Stryczków;Stryczkowa
Kałuszyna;Kałuszyn;Kałuszyna
Nowego Dziekanowa;Nowy Dziekanów;Nowy Dziekanowa
Lipuskiej Huty;Lipuska Huta-Dworzec;Lipuskiej Hut
